Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6413.475    -6457.904       44.429   387.1
0.2000        -6412.858    -6461.566       48.709   424.4
0.4000        -6415.656    -6462.728       47.073   410.1
0.6000        -6413.704    -6460.091       46.387   404.1
0.8000        -6416.792    -6462.526       45.734   398.4
1.0000        -6417.000    -6462.751       45.752   398.6
1.2000        -6418.736    -6463.154       44.419   387.0
1.4000        -6417.817    -6463.148       45.331   394.9
1.6000        -6417.341    -6462.591       45.249   394.2
1.8000        -6418.321    -6464.323       46.003   400.8
2.0000        -6416.979    -6461.312       44.333   386.2
2.2000        -6415.441    -6462.728       47.286   412.0
2.4000        -6415.445    -6462.846       47.400   413.0
2.6000        -6417.572    -6463.020       45.449   396.0
2.8000        -6412.913    -6461.051       48.138   419.4
3.0000        -6415.786    -6462.355       46.568   405.7
3.2000        -6415.514    -6462.885       47.372   412.7
3.4000        -6419.026    -6463.056       44.030   383.6
3.6000        -6419.387    -6464.101       44.714   389.6
3.8000        -6416.924    -6463.428       46.504   405.1
4.0000        -6418.045    -6462.269       44.224   385.3
4.2000        -6418.403    -6463.683       45.280   394.5
4.4000        -6416.968    -6462.648       45.679   398.0
4.6000        -6415.324    -6461.394       46.070   401.4
4.8000        -6415.078    -6462.624       47.546   414.2
5.0000        -6415.427    -6462.747       47.321   412.3
5.2000        -6417.880    -6462.046       44.166   384.8
5.4000        -6417.077    -6463.327       46.250   402.9
5.6000        -6415.956    -6463.214       47.258   411.7
5.8000        -6414.448    -6462.630       48.182   419.8
6.0000        -6415.324    -6461.748       46.425   404.5
6.2000        -6414.127    -6461.464       47.337   412.4
6.4000        -6416.161    -6462.757       46.596   405.9
6.6000        -6413.572    -6459.678       46.106   401.7
6.8000        -6412.371    -6460.601       48.230   420.2
7.0000        -6415.330    -6462.661       47.332   412.4
7.2000        -6417.490    -6462.968       45.479   396.2
7.4000        -6415.790    -6460.655       44.865   390.9
7.6000        -6416.859    -6461.533       44.675   389.2
7.8000        -6417.058    -6461.983       44.925   391.4
8.0000        -6415.207    -6461.917       46.710   406.9
8.2000        -6416.628    -6462.409       45.781   398.8
8.4000        -6414.460    -6461.446       46.986   409.3
8.6000        -6413.312    -6460.556       47.244   411.6
8.8000        -6412.813    -6460.992       48.179   419.7
9.0000        -6415.655    -6461.580       45.926   400.1
9.2000        -6415.818    -6461.519       45.701   398.2
9.4000        -6416.189    -6461.927       45.738   398.5
9.6000        -6412.963    -6461.186       48.223   420.1
9.8000        -6415.175    -6463.136       47.961   417.8
10.0000       -6415.116    -6461.732       46.616   406.1
10.2000       -6413.435    -6461.254       47.819   416.6
10.4000       -6412.739    -6460.256       47.517   414.0
10.6000       -6412.961    -6460.645       47.683   415.4
10.8000       -6415.910    -6462.231       46.321   403.6
11.0000       -6414.156    -6462.242       48.086   418.9
11.2000       -6414.966    -6462.406       47.440   413.3
11.4000       -6413.581    -6460.001       46.421   404.4
11.6000       -6413.357    -6460.679       47.322   412.3
11.8000       -6413.506    -6462.413       48.907   426.1
12.0000       -6414.098    -6460.530       46.432   404.5
12.2000       -6417.031    -6463.241       46.210   402.6
12.4000       -6418.235    -6464.430       46.195   402.5
12.6000       -6419.552    -6462.709       43.157   376.0
12.8000       -6414.170    -6462.076       47.906   417.4
13.0000       -6416.197    -6462.719       46.522   405.3
13.2000       -6418.016    -6464.271       46.255   403.0
13.4000       -6417.801    -6463.753       45.952   400.3
13.6000       -6416.618    -6462.369       45.750   398.6
13.8000       -6415.465    -6462.828       47.363   412.6
