Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6506.916    -6506.916        0.000     0.0
2.5000        -6366.071    -6432.037       65.967   574.7
5.0000        -6364.855    -6436.629       71.774   625.3
7.5000        -6364.577    -6432.626       68.049   592.8
10.0000       -6365.126    -6433.595       68.469   596.5
12.5000       -6365.685    -6435.216       69.531   605.8
15.0000       -6365.004    -6433.436       68.432   596.2
17.5000       -6364.663    -6432.812       68.149   593.7
20.0000       -6364.843    -6433.350       68.507   596.8
22.5000       -6364.960    -6434.770       69.811   608.2
25.0000       -6365.357    -6435.072       69.714   607.4
27.5000       -6365.105    -6435.597       70.492   614.1
30.0000       -6365.416    -6437.555       72.138   628.5
32.5000       -6364.747    -6432.332       67.586   588.8
35.0000       -6364.783    -6430.780       65.998   575.0
37.5000       -6364.315    -6434.061       69.746   607.6
40.0000       -6365.459    -6435.888       70.428   613.6
42.5000       -6365.329    -6433.399       68.070   593.0
45.0000       -6364.978    -6433.171       68.193   594.1
47.5000       -6364.208    -6432.453       68.245   594.6
50.0000       -6364.597    -6431.222       66.625   580.4
