Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -5935.014    -6005.247       70.233   611.9
0.2000        -5937.244    -6006.626       69.382   604.5
0.4000        -5939.823    -6010.684       70.861   617.3
0.6000        -5941.069    -6010.347       69.278   603.6
0.8000        -5941.298    -6009.815       68.517   596.9
1.0000        -5941.341    -6010.076       68.736   598.8
1.2000        -5937.796    -6010.110       72.314   630.0
1.4000        -5936.265    -6006.615       70.350   612.9
1.6000        -5936.978    -6009.281       72.303   629.9
1.8000        -5939.156    -6008.469       69.313   603.9
2.0000        -5945.155    -6011.968       66.813   582.1
2.2000        -5947.507    -6012.769       65.262   568.6
2.4000        -5945.737    -6012.341       66.604   580.3
2.6000        -5945.916    -6013.465       67.549   588.5
2.8000        -5943.067    -6009.734       66.667   580.8
3.0000        -5941.509    -6009.821       68.312   595.1
3.2000        -5943.686    -6011.329       67.643   589.3
3.4000        -5945.407    -6013.756       68.349   595.5
3.6000        -5946.533    -6013.520       66.986   583.6
3.8000        -5943.785    -6011.727       67.941   591.9
4.0000        -5941.844    -6011.249       69.405   604.7
4.2000        -5943.877    -6014.035       70.158   611.2
4.4000        -5946.391    -6013.713       67.322   586.5
4.6000        -5944.804    -6012.550       67.747   590.2
4.8000        -5940.708    -6011.527       70.819   617.0
5.0000        -5939.854    -6011.604       71.750   625.1
5.2000        -5940.445    -6009.590       69.145   602.4
5.4000        -5943.466    -6012.132       68.666   598.2
5.6000        -5943.798    -6012.737       68.939   600.6
5.8000        -5942.609    -6010.423       67.813   590.8
6.0000        -5941.321    -6010.680       69.359   604.3
6.2000        -5937.863    -6011.841       73.978   644.5
6.4000        -5936.669    -6006.292       69.623   606.6
6.6000        -5939.219    -6008.622       69.402   604.6
6.8000        -5940.379    -6011.936       71.557   623.4
7.0000        -5937.999    -6008.858       70.859   617.3
7.2000        -5942.010    -6010.867       68.857   599.9
7.4000        -5941.583    -6008.504       66.921   583.0
7.6000        -5941.714    -6012.344       70.629   615.3
7.8000        -5943.471    -6010.884       67.414   587.3
8.0000        -5943.790    -6011.918       68.128   593.5
8.2000        -5941.816    -6011.198       69.383   604.5
8.4000        -5940.367    -6010.698       70.331   612.7
8.6000        -5940.097    -6010.866       70.769   616.5
8.8000        -5943.104    -6010.333       67.229   585.7
9.0000        -5943.525    -6012.205       68.680   598.3
9.2000        -5946.479    -6012.738       66.259   577.3
9.4000        -5944.918    -6012.891       67.972   592.2
9.6000        -5945.506    -6014.331       68.824   599.6
9.8000        -5944.370    -6013.085       68.715   598.7
10.0000       -5945.143    -6012.840       67.697   589.8
10.2000       -5942.910    -6012.803       69.894   608.9
10.4000       -5942.571    -6011.373       68.802   599.4
10.6000       -5943.632    -6012.443       68.811   599.5
10.8000       -5940.860    -6012.221       71.362   621.7
11.0000       -5942.010    -6009.882       67.871   591.3
11.2000       -5941.932    -6013.079       71.147   619.8
11.4000       -5940.606    -6007.822       67.216   585.6
11.6000       -5942.024    -6010.321       68.297   595.0
11.8000       -5939.834    -6010.809       70.975   618.3
12.0000       -5939.462    -6009.833       70.371   613.1
12.2000       -5940.699    -6014.009       73.309   638.7
12.4000       -5938.216    -6010.632       72.416   630.9
12.6000       -5939.919    -6008.137       68.218   594.3
12.8000       -5936.592    -6008.369       71.776   625.3
13.0000       -5941.436    -6010.867       69.431   604.9
13.2000       -5943.259    -6009.131       65.872   573.9
13.4000       -5945.078    -6011.873       66.795   581.9
13.6000       -5942.522    -6012.129       69.607   606.4
13.8000       -5945.650    -6011.163       65.513   570.8
14.0000       -5946.135    -6013.821       67.686   589.7
