Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -5633.213    -5633.213        0.000     0.0
2.5000        -5932.893    -6002.530       69.638   606.7
5.0000        -5933.274    -6002.500       69.226   603.1
7.5000        -5934.588    -6005.435       70.846   617.2
10.0000       -5935.174    -6003.792       68.618   597.8
12.5000       -5934.029    -6004.558       70.529   614.5
15.0000       -5933.989    -6003.771       69.782   607.9
17.5000       -5934.235    -6003.948       69.714   607.4
20.0000       -5935.803    -6007.068       71.264   620.9
22.5000       -5935.872    -6003.575       67.702   589.8
25.0000       -5935.677    -6007.065       71.388   621.9
27.5000       -5936.320    -6002.968       66.648   580.6
30.0000       -5936.576    -6005.670       69.094   602.0
32.5000       -5936.366    -6006.093       69.727   607.5
35.0000       -5936.863    -6005.814       68.951   600.7
37.5000       -5936.771    -6004.428       67.656   589.4
40.0000       -5936.710    -6005.656       68.946   600.7
42.5000       -5936.931    -6005.735       68.805   599.4
45.0000       -5936.660    -6004.277       67.617   589.1
47.5000       -5935.845    -6008.420       72.575   632.3
50.0000       -5935.014    -6005.247       70.233   611.9
