Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6031.749    -6065.756       34.007   296.3
0.2000        -6030.828    -6067.120       36.292   316.2
0.4000        -6032.413    -6068.018       35.604   310.2
0.6000        -6033.098    -6067.079       33.981   296.0
0.8000        -6032.413    -6066.772       34.360   299.3
1.0000        -6034.916    -6068.944       34.028   296.5
1.2000        -6033.447    -6067.592       34.145   297.5
1.4000        -6033.212    -6067.772       34.561   301.1
1.6000        -6033.326    -6067.415       34.089   297.0
1.8000        -6032.295    -6068.922       36.627   319.1
2.0000        -6031.677    -6067.833       36.156   315.0
2.2000        -6034.202    -6067.561       33.359   290.6
2.4000        -6032.896    -6067.630       34.735   302.6
2.6000        -6033.852    -6067.806       33.954   295.8
2.8000        -6031.811    -6067.322       35.511   309.4
3.0000        -6034.626    -6068.003       33.377   290.8
3.2000        -6034.846    -6067.558       32.711   285.0
3.4000        -6034.301    -6069.114       34.813   303.3
3.6000        -6032.769    -6067.658       34.889   304.0
3.8000        -6032.483    -6068.082       35.599   310.1
4.0000        -6035.209    -6069.022       33.814   294.6
4.2000        -6036.553    -6068.268       31.715   276.3
4.4000        -6036.933    -6068.364       31.430   273.8
4.6000        -6035.614    -6068.836       33.222   289.4
4.8000        -6035.754    -6068.820       33.067   288.1
5.0000        -6035.342    -6069.097       33.755   294.1
5.2000        -6035.808    -6068.405       32.597   284.0
5.4000        -6032.304    -6066.453       34.149   297.5
5.6000        -6033.962    -6068.742       34.779   303.0
5.8000        -6034.547    -6068.452       33.906   295.4
6.0000        -6033.341    -6068.594       35.252   307.1
6.2000        -6033.190    -6068.024       34.834   303.5
6.4000        -6035.562    -6069.844       34.282   298.7
6.6000        -6033.241    -6068.644       35.403   308.4
6.8000        -6035.542    -6068.322       32.780   285.6
7.0000        -6035.694    -6069.089       33.395   290.9
7.2000        -6036.695    -6070.009       33.313   290.2
7.4000        -6034.276    -6068.012       33.736   293.9
7.6000        -6032.881    -6067.858       34.977   304.7
7.8000        -6033.577    -6069.171       35.594   310.1
8.0000        -6032.516    -6067.775       35.259   307.2
8.2000        -6032.321    -6067.504       35.183   306.5
8.4000        -6033.939    -6069.395       35.456   308.9
8.6000        -6033.335    -6067.843       34.508   300.6
8.8000        -6033.221    -6067.633       34.412   299.8
9.0000        -6033.774    -6067.900       34.126   297.3
9.2000        -6034.709    -6068.641       33.932   295.6
9.4000        -6034.357    -6067.915       33.558   292.4
9.6000        -6035.050    -6069.118       34.068   296.8
9.8000        -6034.706    -6068.217       33.510   291.9
10.0000       -6034.576    -6068.967       34.391   299.6
10.2000       -6034.962    -6068.608       33.646   293.1
10.4000       -6034.964    -6068.575       33.611   292.8
10.6000       -6036.972    -6069.396       32.424   282.5
10.8000       -6035.756    -6068.624       32.868   286.3
11.0000       -6034.655    -6068.292       33.637   293.0
