Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6101.084    -6101.084        0.000     0.0
2.5000        -5957.521    -6024.984       67.462   587.7
5.0000        -5957.152    -6027.153       70.001   609.9
7.5000        -5956.947    -6023.616       66.669   580.8
10.0000       -5957.216    -6025.206       67.990   592.3
12.5000       -5956.304    -6023.844       67.540   588.4
15.0000       -5956.567    -6024.680       68.113   593.4
17.5000       -5957.009    -6026.021       69.012   601.2
20.0000       -5957.774    -6027.712       69.938   609.3
22.5000       -5957.498    -6025.979       68.481   596.6
25.0000       -5956.181    -6025.601       69.420   604.8
27.5000       -5956.937    -6026.226       69.288   603.6
30.0000       -5956.986    -6024.460       67.475   587.8
32.5000       -5957.541    -6025.235       67.694   589.8
35.0000       -5956.998    -6027.050       70.052   610.3
37.5000       -5956.945    -6026.214       69.269   603.5
40.0000       -5956.434    -6024.902       68.467   596.5
42.5000       -5956.915    -6024.361       67.446   587.6
45.0000       -5957.509    -6026.795       69.286   603.6
47.5000       -5957.211    -6027.042       69.831   608.4
50.0000       -5956.793    -6024.388       67.596   588.9
