Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6101.336    -6101.336        0.000     0.0
2.5000        -6028.180    -6063.416       35.235   307.0
5.0000        -6027.868    -6063.559       35.691   310.9
7.5000        -6026.843    -6062.103       35.260   307.2
10.0000       -6026.807    -6061.052       34.245   298.3
12.5000       -6027.437    -6063.538       36.101   314.5
15.0000       -6026.906    -6062.964       36.058   314.1
17.5000       -6026.672    -6060.594       33.922   295.5
20.0000       -6026.519    -6059.855       33.335   290.4
22.5000       -6026.659    -6060.660       34.001   296.2
25.0000       -6026.994    -6062.149       35.155   306.3
27.5000       -6027.322    -6062.722       35.400   308.4
30.0000       -6026.842    -6062.728       35.886   312.6
32.5000       -6027.872    -6062.768       34.896   304.0
35.0000       -6027.661    -6062.500       34.839   303.5
37.5000       -6027.713    -6063.291       35.578   310.0
40.0000       -6027.315    -6062.321       35.006   305.0
42.5000       -6028.239    -6063.089       34.850   303.6
45.0000       -6028.677    -6063.858       35.181   306.5
47.5000       -6027.925    -6063.235       35.311   307.6
50.0000       -6028.494    -6063.652       35.158   306.3
