Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -5955.019    -6025.139       70.120   610.9
0.2000        -5958.937    -6027.399       68.463   596.5
0.4000        -5960.219    -6031.300       71.082   619.3
0.6000        -5956.863    -6025.900       69.037   601.5
0.8000        -5954.969    -6027.907       72.938   635.4
1.0000        -5955.409    -6025.263       69.854   608.6
1.2000        -5955.364    -6026.111       70.748   616.4
1.4000        -5957.980    -6029.889       71.909   626.5
1.6000        -5956.211    -6027.526       71.316   621.3
1.8000        -5954.835    -6027.994       73.159   637.4
2.0000        -5955.862    -6029.189       73.327   638.8
2.2000        -5958.042    -6027.387       69.344   604.1
2.4000        -5963.234    -6030.444       67.210   585.5
2.6000        -5959.203    -6030.505       71.302   621.2
2.8000        -5956.193    -6027.438       71.245   620.7
3.0000        -5960.106    -6031.817       71.711   624.8
3.2000        -5959.823    -6029.928       70.105   610.8
3.4000        -5958.669    -6031.595       72.926   635.3
3.6000        -5956.272    -6028.391       72.118   628.3
3.8000        -5953.286    -6025.949       72.663   633.0
4.0000        -5958.018    -6030.573       72.555   632.1
4.2000        -5960.349    -6032.179       71.830   625.8
4.4000        -5958.089    -6027.023       68.934   600.6
4.6000        -5955.905    -6027.702       71.797   625.5
4.8000        -5956.651    -6028.582       71.931   626.7
5.0000        -5959.133    -6030.130       70.997   618.5
5.2000        -5958.392    -6028.796       70.404   613.4
5.4000        -5954.720    -6026.356       71.635   624.1
5.6000        -5958.383    -6027.167       68.784   599.3
5.8000        -5958.296    -6029.028       70.733   616.2
6.0000        -5957.242    -6028.012       70.770   616.6
6.2000        -5952.474    -6025.620       73.146   637.3
6.4000        -5953.588    -6025.794       72.206   629.1
6.6000        -5956.657    -6028.792       72.135   628.4
6.8000        -5958.800    -6028.993       70.192   611.5
7.0000        -5959.828    -6027.580       67.752   590.3
7.2000        -5958.968    -6029.630       70.661   615.6
7.4000        -5960.822    -6030.176       69.354   604.2
7.6000        -5957.742    -6031.185       73.443   639.8
7.8000        -5958.839    -6030.902       72.063   627.8
8.0000        -5957.218    -6029.391       72.173   628.8
8.2000        -5959.914    -6030.981       71.067   619.1
8.4000        -5960.332    -6028.701       68.369   595.6
