Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1824.582    -1824.582        0.000     0.0
2.5000        -1785.441    -1805.734       20.293   392.5
5.0000        -1785.910    -1806.074       20.164   390.0
7.5000        -1785.521    -1806.488       20.966   405.5
10.0000       -1785.872    -1806.168       20.296   392.5
12.5000       -1785.953    -1806.542       20.589   398.2
15.0000       -1785.184    -1806.544       21.361   413.1
17.5000       -1785.521    -1806.248       20.726   400.9
20.0000       -1785.240    -1805.737       20.497   396.4
22.5000       -1785.051    -1805.957       20.906   404.3
25.0000       -1785.313    -1805.733       20.420   394.9
27.5000       -1785.492    -1805.914       20.422   395.0
30.0000       -1785.434    -1806.207       20.773   401.8
32.5000       -1785.416    -1806.900       21.484   415.5
35.0000       -1785.294    -1806.588       21.294   411.9
37.5000       -1785.063    -1805.473       20.410   394.7
40.0000       -1785.422    -1806.409       20.987   405.9
42.5000       -1785.508    -1806.830       21.322   412.4
45.0000       -1785.185    -1806.224       21.039   406.9
47.5000       -1785.424    -1805.924       20.500   396.5
50.0000       -1785.530    -1806.023       20.493   396.4
