Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1775.103    -1800.838       25.735   497.7
0.2000        -1775.664    -1802.351       26.687   516.1
0.4000        -1774.538    -1802.138       27.599   533.8
0.6000        -1775.931    -1802.069       26.138   505.5
0.8000        -1776.838    -1801.848       25.010   483.7
1.0000        -1777.671    -1802.547       24.875   481.1
1.2000        -1777.477    -1801.466       23.989   464.0
1.4000        -1776.739    -1802.169       25.430   491.8
1.6000        -1776.424    -1802.518       26.094   504.7
1.8000        -1774.331    -1800.330       25.999   502.8
2.0000        -1775.377    -1802.399       27.023   522.6
2.2000        -1775.878    -1800.894       25.016   483.8
2.4000        -1776.047    -1801.680       25.633   495.8
2.6000        -1774.364    -1800.636       26.272   508.1
2.8000        -1774.805    -1801.489       26.684   516.1
3.0000        -1776.582    -1802.364       25.782   498.6
3.2000        -1776.514    -1801.025       24.512   474.1
3.4000        -1776.792    -1802.733       25.941   501.7
3.6000        -1776.620    -1800.956       24.336   470.7
3.8000        -1777.167    -1802.975       25.808   499.2
4.0000        -1776.837    -1801.181       24.344   470.8
4.2000        -1774.990    -1800.049       25.059   484.7
4.4000        -1773.719    -1798.929       25.210   487.6
4.6000        -1775.008    -1801.595       26.587   514.2
4.8000        -1774.861    -1801.595       26.734   517.1
5.0000        -1776.213    -1801.623       25.410   491.4
5.2000        -1773.422    -1799.883       26.461   511.8
5.4000        -1773.534    -1800.818       27.284   527.7
5.6000        -1774.107    -1799.816       25.708   497.2
5.8000        -1773.852    -1800.714       26.863   519.5
6.0000        -1773.380    -1801.998       28.617   553.5
6.2000        -1776.028    -1801.968       25.939   501.7
6.4000        -1777.057    -1801.813       24.756   478.8
6.6000        -1774.626    -1800.621       25.995   502.8
6.8000        -1775.293    -1801.711       26.418   511.0
7.0000        -1774.657    -1801.139       26.482   512.2
7.2000        -1774.941    -1801.336       26.394   510.5
7.4000        -1774.875    -1801.062       26.187   506.5
7.6000        -1775.279    -1800.625       25.346   490.2
7.8000        -1774.398    -1801.116       26.718   516.8
8.0000        -1776.430    -1800.834       24.403   472.0
8.2000        -1775.263    -1800.575       25.312   489.6
8.4000        -1773.634    -1799.336       25.702   497.1
8.6000        -1774.927    -1800.474       25.547   494.1
8.8000        -1777.045    -1802.036       24.991   483.3
9.0000        -1776.675    -1801.105       24.430   472.5
9.2000        -1774.778    -1800.314       25.536   493.9
9.4000        -1774.689    -1800.736       26.047   503.8
9.6000        -1771.999    -1799.124       27.126   524.6
9.8000        -1772.549    -1799.713       27.165   525.4
10.0000       -1772.539    -1800.589       28.050   542.5
10.2000       -1771.974    -1799.381       27.407   530.1
10.4000       -1776.374    -1802.071       25.697   497.0
10.6000       -1777.019    -1799.579       22.560   436.3
10.8000       -1774.906    -1800.736       25.830   499.6
11.0000       -1775.470    -1801.169       25.699   497.0
11.2000       -1775.696    -1800.641       24.944   482.4
11.4000       -1775.063    -1800.495       25.432   491.9
11.6000       -1777.614    -1801.400       23.787   460.1
11.8000       -1776.661    -1801.910       25.249   488.3
12.0000       -1774.939    -1800.938       25.998   502.8
12.2000       -1775.414    -1801.788       26.374   510.1
12.4000       -1775.148    -1801.300       26.153   505.8
12.6000       -1776.373    -1800.589       24.216   468.4
12.8000       -1773.439    -1801.208       27.768   537.1
13.0000       -1774.986    -1801.847       26.862   519.5
13.2000       -1776.267    -1802.357       26.090   504.6
13.4000       -1778.445    -1802.405       23.960   463.4
13.6000       -1775.228    -1802.619       27.391   529.8
13.8000       -1777.050    -1802.253       25.203   487.4
14.0000       -1775.522    -1801.172       25.650   496.1
14.2000       -1777.875    -1801.459       23.584   456.1
14.4000       -1775.137    -1801.570       26.433   511.2
14.6000       -1775.975    -1802.633       26.658   515.6
14.8000       -1774.596    -1801.087       26.491   512.4
15.0000       -1773.401    -1801.031       27.629   534.4
15.2000       -1774.705    -1800.965       26.260   507.9
15.4000       -1774.568    -1801.696       27.128   524.7
15.6000       -1773.797    -1799.822       26.026   503.4
15.8000       -1773.719    -1800.103       26.385   510.3
16.0000       -1772.575    -1799.696       27.121   524.5
16.2000       -1771.470    -1798.390       26.920   520.7
16.4000       -1773.839    -1799.209       25.370   490.7
16.6000       -1774.691    -1800.330       25.639   495.9
16.8000       -1773.863    -1801.411       27.549   532.8
17.0000       -1772.149    -1799.615       27.466   531.2
17.2000       -1772.777    -1800.938       28.161   544.7
17.4000       -1774.879    -1800.742       25.863   500.2
17.6000       -1774.269    -1800.754       26.485   512.2
17.8000       -1775.238    -1800.681       25.443   492.1
18.0000       -1773.524    -1801.488       27.964   540.8
18.2000       -1773.495    -1800.830       27.335   528.7
18.4000       -1775.797    -1800.333       24.536   474.6
18.6000       -1776.449    -1802.616       26.166   506.1
18.8000       -1772.463    -1800.402       27.939   540.4
19.0000       -1772.793    -1800.134       27.341   528.8
19.2000       -1774.174    -1800.446       26.272   508.1
19.4000       -1775.871    -1801.916       26.045   503.7
19.6000       -1776.172    -1802.022       25.850   500.0
19.8000       -1775.044    -1800.199       25.155   486.5
20.0000       -1774.678    -1801.059       26.381   510.2
20.2000       -1775.056    -1801.007       25.951   501.9
