Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1453.220    -1453.220        0.000     0.0
2.5000        -1655.783    -1677.486       21.703   419.8
5.0000        -1661.783    -1682.765       20.982   405.8
7.5000        -1664.963    -1686.215       21.251   411.0
10.0000       -1664.547    -1685.266       20.719   400.7
12.5000       -1664.811    -1685.183       20.372   394.0
15.0000       -1665.579    -1685.575       19.996   386.7
17.5000       -1667.967    -1688.051       20.085   388.5
20.0000       -1667.983    -1689.399       21.416   414.2
22.5000       -1668.822    -1689.835       21.013   406.4
25.0000       -1669.255    -1690.228       20.973   405.6
27.5000       -1669.871    -1690.672       20.800   402.3
30.0000       -1671.088    -1692.725       21.638   418.5
32.5000       -1671.672    -1691.396       19.724   381.5
35.0000       -1672.684    -1693.489       20.805   402.4
37.5000       -1672.397    -1693.176       20.780   401.9
40.0000       -1672.176    -1693.787       21.610   418.0
42.5000       -1672.535    -1693.542       21.007   406.3
45.0000       -1673.921    -1695.045       21.124   408.6
47.5000       -1673.427    -1693.130       19.703   381.1
50.0000       -1673.968    -1694.892       20.923   404.7
