Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1671.733    -1692.180       20.447   395.5
0.2000        -1671.490    -1691.978       20.488   396.3
0.4000        -1671.265    -1691.563       20.298   392.6
0.6000        -1671.805    -1692.641       20.836   403.0
0.8000        -1671.267    -1692.778       21.511   416.0
1.0000        -1671.988    -1692.401       20.413   394.8
1.2000        -1669.956    -1692.284       22.329   431.9
1.4000        -1669.808    -1692.261       22.454   434.3
1.6000        -1670.095    -1690.479       20.384   394.3
1.8000        -1669.934    -1691.373       21.439   414.6
2.0000        -1671.632    -1692.362       20.731   400.9
2.2000        -1670.259    -1692.427       22.168   428.8
2.4000        -1672.362    -1692.388       20.026   387.3
2.6000        -1672.319    -1691.740       19.422   375.6
2.8000        -1672.426    -1693.338       20.912   404.5
3.0000        -1672.625    -1692.887       20.262   391.9
3.2000        -1673.806    -1693.115       19.309   373.5
3.4000        -1673.435    -1693.516       20.081   388.4
3.6000        -1674.534    -1693.519       18.985   367.2
3.8000        -1673.430    -1692.415       18.985   367.2
4.0000        -1673.569    -1693.999       20.430   395.1
4.2000        -1674.910    -1694.195       19.285   373.0
4.4000        -1674.311    -1694.153       19.842   383.8
4.6000        -1672.582    -1694.039       21.457   415.0
4.8000        -1671.830    -1693.201       21.371   413.3
5.0000        -1671.912    -1691.931       20.019   387.2
5.2000        -1673.473    -1694.166       20.693   400.2
5.4000        -1673.343    -1694.729       21.386   413.6
5.6000        -1671.855    -1692.867       21.012   406.4
5.8000        -1672.060    -1692.321       20.261   391.9
6.0000        -1671.743    -1692.273       20.530   397.1
6.2000        -1672.681    -1692.980       20.300   392.6
6.4000        -1670.784    -1690.654       19.871   384.3
6.6000        -1671.271    -1692.196       20.924   404.7
6.8000        -1670.922    -1692.271       21.349   412.9
7.0000        -1671.730    -1692.693       20.963   405.4
7.2000        -1672.641    -1692.573       19.932   385.5
7.4000        -1673.335    -1694.198       20.862   403.5
7.6000        -1672.613    -1692.942       20.329   393.2
7.8000        -1672.503    -1692.788       20.285   392.3
8.0000        -1672.854    -1693.103       20.249   391.6
8.2000        -1672.813    -1693.798       20.985   405.9
8.4000        -1672.397    -1692.585       20.188   390.5
8.6000        -1672.913    -1693.011       20.098   388.7
8.8000        -1671.914    -1692.721       20.806   402.4
9.0000        -1671.755    -1692.436       20.680   400.0
9.2000        -1672.630    -1693.925       21.295   411.9
9.4000        -1673.502    -1693.391       19.889   384.7
9.6000        -1674.479    -1693.516       19.036   368.2
9.8000        -1674.038    -1695.846       21.808   421.8
10.0000       -1674.497    -1693.999       19.501   377.2
10.2000       -1674.452    -1695.062       20.609   398.6
10.4000       -1672.455    -1693.038       20.584   398.1
10.6000       -1673.024    -1693.129       20.106   388.9
10.8000       -1673.722    -1695.096       21.373   413.4
11.0000       -1674.502    -1693.105       18.603   359.8
11.2000       -1672.901    -1692.457       19.556   378.2
11.4000       -1671.942    -1692.279       20.337   393.3
11.6000       -1671.759    -1693.514       21.755   420.8
11.8000       -1672.990    -1693.749       20.758   401.5
12.0000       -1673.852    -1693.562       19.710   381.2
12.2000       -1671.708    -1692.762       21.054   407.2
12.4000       -1669.892    -1691.658       21.766   421.0
12.6000       -1671.058    -1692.281       21.223   410.5
12.8000       -1672.141    -1692.874       20.733   401.0
13.0000       -1672.290    -1693.558       21.268   411.3
13.2000       -1670.895    -1692.792       21.897   423.5
13.4000       -1673.527    -1693.229       19.702   381.1
13.6000       -1672.397    -1693.905       21.508   416.0
13.8000       -1674.918    -1695.240       20.322   393.0
14.0000       -1672.971    -1693.133       20.162   390.0
14.2000       -1673.829    -1693.787       19.958   386.0
14.4000       -1675.095    -1694.986       19.891   384.7
14.6000       -1677.351    -1694.937       17.586   340.1
14.8000       -1676.484    -1694.733       18.250   353.0
15.0000       -1674.117    -1694.714       20.598   398.4
15.2000       -1675.009    -1693.599       18.589   359.5
15.4000       -1674.367    -1693.742       19.375   374.7
15.6000       -1673.714    -1693.608       19.894   384.8
15.8000       -1672.676    -1693.566       20.890   404.0
16.0000       -1672.772    -1693.466       20.693   400.2
16.2000       -1673.723    -1694.150       20.426   395.1
16.4000       -1673.600    -1694.168       20.567   397.8
16.6000       -1674.096    -1694.041       19.945   385.8
16.8000       -1674.274    -1693.722       19.447   376.1
17.0000       -1674.185    -1694.100       19.915   385.2
17.2000       -1674.039    -1693.422       19.383   374.9
17.4000       -1673.203    -1694.883       21.680   419.3
17.6000       -1672.951    -1694.247       21.296   411.9
17.8000       -1674.702    -1695.511       20.809   402.5
18.0000       -1673.303    -1693.449       20.147   389.7
18.2000       -1672.395    -1692.716       20.321   393.0
18.4000       -1672.380    -1692.911       20.531   397.1
18.6000       -1672.841    -1693.484       20.644   399.3
18.8000       -1674.278    -1693.431       19.153   370.4
19.0000       -1675.358    -1694.039       18.681   361.3
19.2000       -1674.615    -1695.236       20.620   398.8
19.4000       -1675.938    -1695.109       19.171   370.8
19.6000       -1675.829    -1694.220       18.390   355.7
19.8000       -1675.064    -1694.602       19.538   377.9
