Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1729.066    -1729.066        0.000     0.0
2.5000        -1667.533    -1699.681       32.148   621.8
5.0000        -1666.923    -1697.857       30.934   598.3
7.5000        -1666.520    -1696.026       29.506   570.7
10.0000       -1667.294    -1698.052       30.758   594.9
12.5000       -1667.559    -1698.595       31.036   600.3
15.0000       -1667.059    -1697.792       30.733   594.4
17.5000       -1668.009    -1698.714       30.705   593.9
20.0000       -1667.095    -1698.612       31.517   609.6
22.5000       -1667.728    -1698.956       31.227   604.0
25.0000       -1666.785    -1698.734       31.949   617.9
27.5000       -1666.962    -1698.369       31.407   607.4
30.0000       -1666.977    -1699.388       32.411   626.9
32.5000       -1667.231    -1699.149       31.918   617.3
35.0000       -1666.430    -1697.996       31.566   610.5
37.5000       -1667.024    -1695.766       28.742   555.9
40.0000       -1667.525    -1698.582       31.056   600.7
42.5000       -1667.712    -1696.909       29.197   564.7
45.0000       -1666.973    -1696.946       29.973   579.7
47.5000       -1667.733    -1698.673       30.940   598.4
50.0000       -1667.885    -1699.218       31.334   606.0
