Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1666.666    -1698.537       31.872   616.4
0.2000        -1666.552    -1696.935       30.383   587.6
0.4000        -1664.011    -1695.835       31.824   615.5
0.6000        -1664.148    -1696.644       32.496   628.5
0.8000        -1666.449    -1697.468       31.019   599.9
1.0000        -1668.835    -1698.776       29.941   579.1
1.2000        -1668.660    -1700.157       31.497   609.2
1.4000        -1667.552    -1699.985       32.433   627.3
1.6000        -1669.270    -1699.553       30.284   585.7
1.8000        -1669.663    -1698.763       29.100   562.8
2.0000        -1668.236    -1698.927       30.691   593.6
2.2000        -1667.183    -1698.356       31.173   602.9
2.4000        -1667.003    -1698.853       31.851   616.0
2.6000        -1667.169    -1697.048       29.879   577.9
2.8000        -1667.472    -1699.802       32.330   625.3
3.0000        -1665.439    -1697.814       32.376   626.2
3.2000        -1664.703    -1696.713       32.010   619.1
3.4000        -1666.864    -1698.938       32.074   620.3
3.6000        -1666.156    -1698.859       32.704   632.5
3.8000        -1666.524    -1697.808       31.284   605.1
4.0000        -1665.573    -1696.188       30.615   592.1
4.2000        -1665.821    -1699.007       33.186   641.8
4.4000        -1668.202    -1699.875       31.672   612.6
4.6000        -1668.693    -1699.633       30.940   598.4
4.8000        -1668.279    -1698.177       29.897   578.2
5.0000        -1668.568    -1700.428       31.860   616.2
5.2000        -1669.911    -1699.981       30.070   581.6
5.4000        -1667.667    -1697.106       29.440   569.4
5.6000        -1667.753    -1697.918       30.165   583.4
5.8000        -1665.275    -1697.094       31.820   615.4
6.0000        -1665.637    -1698.372       32.735   633.1
6.2000        -1666.919    -1698.417       31.499   609.2
6.4000        -1667.458    -1699.343       31.884   616.7
6.6000        -1665.934    -1696.507       30.573   591.3
6.8000        -1667.344    -1700.496       33.151   641.2
7.0000        -1665.472    -1698.052       32.580   630.1
7.2000        -1666.564    -1698.620       32.056   620.0
7.4000        -1666.668    -1697.288       30.620   592.2
7.6000        -1665.331    -1697.022       31.691   612.9
7.8000        -1666.234    -1698.360       32.126   621.3
8.0000        -1668.441    -1699.667       31.226   603.9
8.2000        -1666.506    -1697.895       31.389   607.1
8.4000        -1665.485    -1699.475       33.989   657.4
8.6000        -1668.450    -1698.007       29.557   571.7
8.8000        -1668.250    -1698.293       30.043   581.1
9.0000        -1667.681    -1698.917       31.236   604.1
9.2000        -1668.139    -1699.861       31.722   613.5
9.4000        -1667.701    -1699.250       31.549   610.2
9.6000        -1666.457    -1698.489       32.033   619.5
9.8000        -1668.794    -1699.513       30.719   594.1
10.0000       -1668.216    -1697.472       29.256   565.8
10.2000       -1669.084    -1699.149       30.065   581.5
10.4000       -1666.468    -1697.207       30.739   594.5
10.6000       -1666.792    -1697.429       30.637   592.5
10.8000       -1665.985    -1699.230       33.246   643.0
11.0000       -1668.997    -1698.120       29.123   563.3
11.2000       -1667.197    -1698.673       31.476   608.8
11.4000       -1667.346    -1697.885       30.538   590.6
11.6000       -1667.185    -1698.294       31.109   601.7
11.8000       -1665.514    -1697.467       31.953   618.0
12.0000       -1665.596    -1696.775       31.179   603.0
12.2000       -1665.696    -1697.197       31.501   609.3
12.4000       -1665.836    -1696.122       30.286   585.8
12.6000       -1664.868    -1695.544       30.676   593.3
