Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1699.077    -1715.357       16.280   314.9
0.2000        -1698.161    -1714.684       16.523   319.6
0.4000        -1699.049    -1714.984       15.935   308.2
0.6000        -1699.470    -1715.191       15.721   304.1
0.8000        -1698.183    -1715.196       17.013   329.0
1.0000        -1698.851    -1714.486       15.635   302.4
1.2000        -1698.624    -1713.644       15.020   290.5
1.4000        -1698.008    -1713.772       15.764   304.9
1.6000        -1700.181    -1716.312       16.131   312.0
1.8000        -1699.638    -1716.007       16.369   316.6
2.0000        -1698.416    -1715.356       16.940   327.6
2.2000        -1697.580    -1714.151       16.571   320.5
2.4000        -1698.538    -1714.775       16.238   314.0
2.6000        -1698.404    -1715.025       16.621   321.5
2.8000        -1699.237    -1715.033       15.796   305.5
3.0000        -1698.443    -1713.512       15.069   291.4
3.2000        -1697.978    -1714.252       16.274   314.8
3.4000        -1698.287    -1714.354       16.067   310.7
3.6000        -1697.701    -1714.316       16.615   321.3
3.8000        -1698.863    -1714.794       15.931   308.1
4.0000        -1699.911    -1715.375       15.464   299.1
4.2000        -1698.911    -1715.360       16.449   318.1
4.4000        -1697.868    -1714.240       16.372   316.6
4.6000        -1698.819    -1714.865       16.046   310.3
4.8000        -1698.229    -1714.081       15.852   306.6
5.0000        -1700.404    -1715.754       15.350   296.9
5.2000        -1699.921    -1714.719       14.798   286.2
5.4000        -1699.200    -1714.463       15.264   295.2
5.6000        -1699.699    -1715.148       15.450   298.8
5.8000        -1698.088    -1714.244       16.156   312.5
6.0000        -1698.507    -1713.355       14.848   287.2
6.2000        -1698.448    -1715.090       16.642   321.9
6.4000        -1699.463    -1715.168       15.705   303.7
6.6000        -1698.380    -1714.152       15.772   305.0
6.8000        -1698.459    -1714.409       15.950   308.5
7.0000        -1698.260    -1714.838       16.578   320.6
7.2000        -1698.823    -1714.591       15.768   305.0
7.4000        -1698.730    -1714.494       15.763   304.9
7.6000        -1698.283    -1714.816       16.533   319.8
7.8000        -1698.247    -1713.894       15.647   302.6
8.0000        -1699.491    -1715.131       15.640   302.5
8.2000        -1698.470    -1715.493       17.022   329.2
8.4000        -1697.107    -1714.061       16.954   327.9
8.6000        -1698.810    -1714.318       15.508   299.9
8.8000        -1698.783    -1714.617       15.834   306.2
9.0000        -1698.714    -1715.151       16.437   317.9
9.2000        -1698.598    -1714.866       16.269   314.6
9.4000        -1698.806    -1714.947       16.141   312.2
9.6000        -1698.582    -1714.660       16.078   311.0
9.8000        -1699.893    -1715.349       15.455   298.9
10.0000       -1699.503    -1715.350       15.847   306.5
10.2000       -1699.007    -1714.709       15.703   303.7
10.4000       -1700.276    -1716.243       15.967   308.8
10.6000       -1700.429    -1715.141       14.712   284.5
10.8000       -1699.525    -1714.639       15.114   292.3
11.0000       -1699.429    -1714.801       15.373   297.3
