Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1729.624    -1729.624        0.000     0.0
2.5000        -1696.441    -1711.641       15.199   294.0
5.0000        -1697.264    -1712.516       15.253   295.0
7.5000        -1698.224    -1713.496       15.272   295.4
10.0000       -1698.275    -1713.171       14.897   288.1
12.5000       -1698.929    -1714.676       15.747   304.6
15.0000       -1698.843    -1714.422       15.579   301.3
17.5000       -1698.329    -1713.895       15.566   301.1
20.0000       -1698.679    -1714.603       15.925   308.0
22.5000       -1698.550    -1715.017       16.467   318.5
25.0000       -1699.107    -1714.638       15.530   300.4
27.5000       -1698.660    -1714.374       15.714   303.9
30.0000       -1698.358    -1714.259       15.901   307.5
32.5000       -1698.940    -1714.086       15.146   292.9
35.0000       -1698.403    -1713.977       15.574   301.2
37.5000       -1698.544    -1713.938       15.394   297.7
40.0000       -1699.353    -1715.624       16.271   314.7
42.5000       -1699.352    -1715.562       16.210   313.5
45.0000       -1698.817    -1713.943       15.127   292.6
47.5000       -1699.201    -1714.766       15.564   301.0
50.0000       -1699.077    -1715.357       16.280   314.9
