Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3623.683    -3623.683        0.000     0.0
0.0500        -3618.362    -3639.421       21.060   195.8
0.1000        -3614.068    -3636.316       22.247   206.9
0.1500        -3612.500    -3643.536       31.036   288.6
0.2000        -3610.411    -3637.891       27.480   255.5
0.2500        -3607.874    -3634.982       27.108   252.1
0.3000        -3606.456    -3633.619       27.163   252.6
0.3500        -3604.339    -3633.024       28.685   266.7
0.4000        -3602.487    -3631.291       28.804   267.8
0.4500        -3599.582    -3627.017       27.434   255.1
0.5000        -3598.246    -3630.083       31.836   296.0
0.5500        -3601.500    -3634.104       32.604   303.2
0.6000        -3600.849    -3635.031       34.181   317.8
0.6500        -3598.925    -3630.757       31.832   296.0
0.7000        -3598.232    -3623.685       25.453   236.7
0.7500        -3595.834    -3632.662       36.828   342.4
0.8000        -3598.725    -3636.406       37.681   350.4
0.8500        -3599.778    -3631.123       31.345   291.5
0.9000        -3599.892    -3634.812       34.920   324.7
0.9500        -3599.654    -3639.331       39.677   368.9
1.0000        -3601.874    -3633.228       31.354   291.5
1.0500        -3600.270    -3629.958       29.689   276.1
1.1000        -3600.137    -3628.386       28.249   262.7
1.1500        -3600.680    -3624.601       23.921   222.4
1.2000        -3598.647    -3631.443       32.795   304.9
1.2500        -3601.111    -3637.609       36.498   339.4
1.3000        -3600.704    -3629.402       28.698   266.8
1.3500        -3599.189    -3633.813       34.624   321.9
1.4000        -3597.894    -3631.143       33.249   309.2
1.4500        -3599.619    -3623.791       24.172   224.8
1.5000        -3600.826    -3644.232       43.406   403.6
1.5500        -3599.549    -3630.636       31.087   289.1
1.6000        -3599.220    -3630.394       31.173   289.9
1.6500        -3599.326    -3626.926       27.600   256.6
1.7000        -3598.820    -3627.113       28.293   263.1
1.7500        -3600.202    -3630.713       30.511   283.7
1.8000        -3601.293    -3637.111       35.818   333.1
1.8500        -3601.113    -3630.475       29.362   273.0
1.9000        -3599.667    -3628.902       29.234   271.8
1.9500        -3598.914    -3627.728       28.814   267.9
2.0000        -3597.802    -3630.596       32.794   304.9
2.0500        -3597.498    -3626.026       28.529   265.3
2.1000        -3596.917    -3630.054       33.137   308.1
2.1500        -3597.740    -3633.300       35.560   330.7
2.2000        -3598.091    -3629.575       31.484   292.7
2.2500        -3598.877    -3632.831       33.954   315.7
2.3000        -3599.290    -3631.143       31.853   296.2
2.3500        -3599.600    -3632.570       32.971   306.6
2.4000        -3599.138    -3630.100       30.963   287.9
2.4500        -3598.365    -3629.202       30.838   286.7
2.5000        -3598.242    -3630.600       32.358   300.9
2.5500        -3598.210    -3629.543       31.333   291.4
2.6000        -3598.511    -3631.801       33.290   309.5
2.6500        -3598.400    -3631.070       32.670   303.8
2.7000        -3598.410    -3630.313       31.902   296.6
2.7500        -3598.520    -3631.921       33.401   310.6
2.8000        -3598.542    -3630.369       31.827   295.9
2.8500        -3598.323    -3629.423       31.100   289.2
