Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3410.500    -3410.500        0.000     0.0
0.0500        -3407.145    -3445.792       38.647   359.4
0.1000        -3405.050    -3439.662       34.612   321.8
0.1500        -3403.484    -3434.328       30.844   286.8
0.2000        -3403.016    -3435.766       32.750   304.5
0.2500        -3401.340    -3437.382       36.043   335.1
0.3000        -3401.054    -3427.975       26.921   250.3
0.3500        -3400.789    -3430.382       29.593   275.2
0.4000        -3400.339    -3439.033       38.694   359.8
0.4500        -3398.314    -3438.143       39.829   370.3
0.5000        -3398.442    -3436.280       37.838   351.8
0.5500        -3400.473    -3437.062       36.589   340.2
0.6000        -3398.715    -3432.503       33.787   314.2
0.6500        -3398.640    -3423.329       24.689   229.6
0.7000        -3398.257    -3431.291       33.034   307.2
0.7500        -3398.054    -3436.673       38.619   359.1
0.8000        -3399.404    -3425.189       25.786   239.8
0.8500        -3398.148    -3431.421       33.273   309.4
0.9000        -3395.406    -3418.856       23.450   218.1
0.9500        -3393.553    -3425.436       31.883   296.5
1.0000        -3393.697    -3425.929       32.232   299.7
1.0500        -3392.786    -3429.544       36.758   341.8
1.1000        -3395.935    -3438.302       42.367   393.9
1.1500        -3395.761    -3427.518       31.757   295.3
1.2000        -3397.694    -3431.001       33.307   309.7
1.2500        -3397.191    -3426.552       29.361   273.0
1.3000        -3395.694    -3430.114       34.420   320.1
1.3500        -3393.603    -3423.496       29.893   278.0
1.4000        -3394.512    -3436.500       41.987   390.4
1.4500        -3394.611    -3429.317       34.706   322.7
1.5000        -3394.368    -3429.116       34.748   323.1
1.5500        -3392.709    -3429.213       36.505   339.4
1.6000        -3391.642    -3420.007       28.365   263.7
1.6500        -3392.801    -3436.209       43.408   403.6
1.7000        -3395.319    -3429.448       34.129   317.3
1.7500        -3395.008    -3426.066       31.058   288.8
1.8000        -3393.053    -3425.297       32.244   299.8
1.8500        -3393.405    -3427.362       33.957   315.7
1.9000        -3394.924    -3429.769       34.845   324.0
1.9500        -3396.247    -3429.380       33.134   308.1
2.0000        -3393.201    -3416.559       23.358   217.2
2.0500        -3392.063    -3428.032       35.970   334.5
2.1000        -3394.247    -3434.973       40.725   378.7
2.1500        -3395.108    -3423.146       28.038   260.7
2.2000        -3392.071    -3417.462       25.392   236.1
2.2500        -3392.090    -3429.998       37.908   352.5
2.3000        -3394.662    -3429.928       35.266   327.9
2.3500        -3394.532    -3425.834       31.301   291.1
2.4000        -3394.463    -3427.446       32.983   306.7
2.4500        -3394.407    -3426.399       31.992   297.5
2.5000        -3394.565    -3427.173       32.608   303.2
2.5500        -3393.811    -3425.231       31.421   292.2
2.6000        -3393.029    -3424.683       31.654   294.3
2.6500        -3392.363    -3426.508       34.145   317.5
2.7000        -3392.814    -3426.621       33.807   314.4
2.7500        -3392.913    -3426.079       33.166   308.4
2.8000        -3393.500    -3426.996       33.496   311.5
2.8500        -3393.405    -3426.522       33.116   307.9
2.9000        -3393.289    -3426.737       33.448   311.0
2.9500        -3393.321    -3426.146       32.825   305.2
3.0000        -3393.321    -3424.905       31.584   293.7
3.0500        -3393.289    -3427.281       33.991   316.1
3.1000        -3393.461    -3426.378       32.917   306.1
3.1500        -3393.542    -3426.601       33.059   307.4
3.2000        -3393.416    -3427.330       33.914   315.3
3.2500        -3393.434    -3426.194       32.759   304.6
3.3000        -3392.997    -3426.096       33.100   307.8
3.3500        -3393.079    -3425.409       32.329   300.6
3.4000        -3392.697    -3425.439       32.742   304.4
3.4500        -3392.611    -3425.719       33.108   307.9
3.5000        -3392.938    -3426.613       33.675   313.1
3.5500        -3392.900    -3426.356       33.456   311.1
3.6000        -3393.243    -3427.591       34.348   319.4
3.6500        -3393.211    -3425.201       31.991   297.5
3.7000        -3392.389    -3424.897       32.508   302.3
3.7500        -3392.382    -3425.186       32.805   305.0
3.8000        -3392.424    -3424.912       32.488   302.1
3.8500        -3392.327    -3425.931       33.604   312.5
3.9000        -3392.777    -3426.032       33.256   309.2
3.9500        -3392.226    -3424.071       31.844   296.1
4.0000        -3391.870    -3424.624       32.754   304.6
4.0500        -3391.725    -3423.900       32.175   299.2
4.1000        -3391.396    -3423.890       32.494   302.1
4.1500        -3391.569    -3424.043       32.474   302.0
4.2000        -3391.516    -3424.038       32.522   302.4
4.2500        -3391.669    -3425.087       33.418   310.7
4.3000        -3391.417    -3424.104       32.687   303.9
4.3500        -3391.187    -3425.532       34.345   319.4
4.4000        -3391.673    -3425.210       33.537   311.8
4.4500        -3391.613    -3424.696       33.083   307.6
4.5000        -3391.609    -3424.938       33.329   309.9
4.5500        -3391.911    -3424.028       32.117   298.6
4.6000        -3392.013    -3425.501       33.488   311.4
4.6500        -3392.000    -3425.396       33.397   310.5
4.7000        -3392.148    -3425.571       33.423   310.8
4.7500        -3392.149    -3425.306       33.157   308.3
4.8000        -3392.128    -3424.854       32.726   304.3
4.8500        -3391.997    -3424.528       32.531   302.5
4.9000        -3392.038    -3426.355       34.316   319.1
4.9500        -3392.256    -3425.836       33.580   312.2
5.0000        -3392.150    -3425.627       33.478   311.3
5.0500        -3392.115    -3425.533       33.418   310.7
5.1000        -3391.971    -3424.853       32.881   305.7
5.1500        -3392.101    -3425.743       33.642   312.8
5.2000        -3392.138    -3425.812       33.674   313.1
5.2500        -3392.318    -3426.178       33.861   314.9
5.3000        -3392.526    -3425.123       32.597   303.1
5.3500        -3392.049    -3424.061       32.012   297.7
5.4000        -3391.612    -3424.897       33.285   309.5
5.4500        -3391.776    -3425.964       34.188   317.9
5.5000        -3391.856    -3424.551       32.695   304.0
5.5500        -3391.738    -3424.451       32.713   304.2
5.6000        -3391.380    -3424.261       32.881   305.7
5.6500        -3391.216    -3423.187       31.970   297.3
5.7000        -3391.121    -3424.561       33.440   310.9
5.7500        -3391.047    -3423.696       32.650   303.6
5.8000        -3390.970    -3424.370       33.400   310.6
5.8500        -3391.044    -3424.848       33.804   314.3
5.9000        -3391.581    -3425.899       34.318   319.1
5.9500        -3391.658    -3425.033       33.375   310.3
6.0000        -3391.675    -3425.315       33.640   312.8
6.0500        -3391.449    -3424.163       32.714   304.2
6.1000        -3391.401    -3424.449       33.048   307.3
6.1500        -3391.344    -3424.115       32.771   304.7
6.2000        -3391.368    -3424.269       32.901   305.9
6.2500        -3391.295    -3424.520       33.226   308.9
6.3000        -3391.420    -3424.589       33.169   308.4
6.3500        -3391.176    -3424.240       33.064   307.4
6.4000        -3391.089    -3425.333       34.243   318.4
6.4500        -3391.388    -3424.875       33.487   311.4
6.5000        -3391.474    -3424.621       33.147   308.2
6.5500        -3391.452    -3424.676       33.224   308.9
6.6000        -3391.247    -3424.006       32.759   304.6
6.6500        -3391.159    -3424.359       33.200   308.7
6.7000        -3391.213    -3425.138       33.925   315.5
6.7500        -3391.396    -3424.798       33.402   310.6
6.8000        -3391.715    -3424.585       32.871   305.6
6.8500        -3391.597    -3424.611       33.014   307.0
6.9000        -3391.673    -3426.005       34.331   319.2
6.9500        -3391.935    -3424.484       32.548   302.7
7.0000        -3391.457    -3423.690       32.233   299.7
7.0500        -3391.197    -3424.847       33.650   312.9
7.1000        -3391.391    -3424.123       32.732   304.4
7.1500        -3391.044    -3423.622       32.579   302.9
7.2000        -3391.382    -3425.047       33.665   313.0
7.2500        -3391.225    -3423.480       32.256   299.9
7.3000        -3391.253    -3425.749       34.496   320.8
7.3500        -3391.649    -3425.257       33.609   312.5
7.4000        -3391.822    -3425.176       33.354   310.1
7.4500        -3391.742    -3424.326       32.584   303.0
7.5000        -3391.354    -3423.894       32.540   302.6
7.5500        -3391.472    -3424.605       33.133   308.1
7.6000        -3391.658    -3425.571       33.913   315.3
7.6500        -3392.129    -3425.576       33.447   311.0
7.7000        -3392.100    -3424.997       32.897   305.9
7.7500        -3391.966    -3425.077       33.111   307.9
7.8000        -3392.004    -3425.122       33.118   307.9
7.8500        -3392.091    -3425.572       33.481   311.3
7.9000        -3392.086    -3424.917       32.832   305.3
7.9500        -3391.979    -3424.667       32.688   304.0
8.0000        -3391.524    -3424.507       32.983   306.7
8.0500        -3391.140    -3423.164       32.024   297.8
8.1000        -3390.878    -3424.273       33.395   310.5
8.1500        -3390.814    -3423.285       32.471   301.9
8.2000        -3390.681    -3423.971       33.290   309.5
8.2500        -3390.770    -3424.530       33.760   313.9
8.3000        -3390.847    -3423.932       33.085   307.6
8.3500        -3391.064    -3425.704       34.640   322.1
8.4000        -3391.316    -3423.986       32.670   303.8
8.4500        -3391.510    -3425.250       33.740   313.7
8.5000        -3391.739    -3424.773       33.034   307.2
8.5500        -3391.756    -3425.403       33.646   312.9
8.6000        -3391.768    -3424.266       32.498   302.2
8.6500        -3391.684    -3424.403       32.719   304.2
8.7000        -3391.795    -3424.708       32.913   306.0
8.7500        -3391.698    -3424.565       32.867   305.6
8.8000        -3391.639    -3424.438       32.798   305.0
8.8500        -3391.604    -3423.613       32.009   297.6
8.9000        -3391.755    -3425.143       33.388   310.5
8.9500        -3391.796    -3424.581       32.784   304.8
9.0000        -3391.942    -3424.872       32.930   306.2
9.0500        -3391.812    -3424.909       33.097   307.8
9.1000        -3391.450    -3424.772       33.322   309.8
9.1500        -3391.435    -3424.391       32.956   306.4
9.2000        -3391.393    -3425.141       33.748   313.8
9.2500        -3391.655    -3425.025       33.369   310.3
9.3000        -3391.691    -3424.551       32.860   305.5
9.3500        -3391.672    -3424.708       33.035   307.2
9.4000        -3391.707    -3425.489       33.783   314.1
9.4500        -3391.684    -3425.370       33.686   313.2
9.5000        -3391.741    -3424.853       33.112   307.9
9.5500        -3391.712    -3425.068       33.356   310.2
9.6000        -3392.041    -3424.912       32.871   305.6
9.6500        -3392.080    -3425.541       33.461   311.1
9.7000        -3391.983    -3423.420       31.438   292.3
9.7500        -3391.626    -3424.494       32.868   305.6
9.8000        -3391.800    -3425.623       33.823   314.5
9.8500        -3391.730    -3425.736       34.005   316.2
9.9000        -3392.013    -3425.802       33.789   314.2
9.9500        -3392.331    -3426.949       34.618   321.9
10.0000       -3392.586    -3424.160       31.574   293.6
10.0500       -3392.257    -3425.320       33.062   307.4
10.1000       -3392.255    -3425.461       33.206   308.8
10.1500       -3391.741    -3424.119       32.377   301.1
10.2000       -3391.751    -3424.642       32.891   305.8
10.2500       -3391.481    -3424.690       33.209   308.8
10.3000       -3391.501    -3424.005       32.505   302.2
10.3500       -3391.309    -3425.082       33.773   314.0
10.4000       -3391.264    -3424.854       33.590   312.3
10.4500       -3391.512    -3424.747       33.235   309.0
10.5000       -3391.439    -3424.812       33.373   310.3
10.5500       -3391.571    -3424.671       33.101   307.8
10.6000       -3391.609    -3424.807       33.198   308.7
10.6500       -3391.740    -3424.786       33.046   307.3
10.7000       -3391.772    -3424.667       32.895   305.9
10.7500       -3391.766    -3424.718       32.952   306.4
10.8000       -3391.536    -3423.627       32.091   298.4
10.8500       -3391.437    -3424.883       33.447   311.0
10.9000       -3391.638    -3424.386       32.748   304.5
10.9500       -3391.159    -3423.917       32.758   304.6
11.0000       -3391.460    -3425.161       33.701   313.4
11.0500       -3391.560    -3424.670       33.110   307.9
11.1000       -3391.767    -3425.586       33.818   314.5
11.1500       -3391.923    -3424.865       32.942   306.3
11.2000       -3391.669    -3425.259       33.590   312.3
11.2500       -3392.057    -3426.138       34.080   316.9
11.3000       -3392.009    -3425.636       33.627   312.7
11.3500       -3392.165    -3425.439       33.274   309.4
11.4000       -3392.091    -3424.648       32.557   302.7
11.4500       -3392.054    -3424.209       32.156   299.0
11.5000       -3391.954    -3424.582       32.628   303.4
11.5500       -3391.853    -3425.806       33.953   315.7
11.6000       -3392.360    -3426.243       33.883   315.1
11.6500       -3392.490    -3425.330       32.840   305.4
11.7000       -3392.471    -3425.551       33.080   307.6
11.7500       -3392.626    -3425.844       33.218   308.9
11.8000       -3392.761    -3426.734       33.973   315.9
11.8500       -3393.053    -3426.176       33.123   308.0
11.9000       -3393.002    -3426.524       33.523   311.7
11.9500       -3392.772    -3425.437       32.664   303.7
12.0000       -3392.607    -3424.342       31.735   295.1
12.0500       -3392.268    -3424.858       32.590   303.0
12.1000       -3391.983    -3425.100       33.117   307.9
12.1500       -3391.842    -3424.562       32.720   304.3
12.2000       -3391.658    -3423.621       31.963   297.2
12.2500       -3391.814    -3425.791       33.977   315.9
12.3000       -3391.960    -3425.419       33.459   311.1
12.3500       -3391.720    -3424.606       32.886   305.8
12.4000       -3391.912    -3425.213       33.301   309.7
12.4500       -3391.830    -3425.315       33.486   311.4
12.5000       -3391.903    -3424.993       33.090   307.7
12.5500       -3391.942    -3425.163       33.220   308.9
12.6000       -3391.950    -3424.302       32.353   300.8
12.6500       -3391.893    -3424.987       33.094   307.7
12.7000       -3391.666    -3425.209       33.543   311.9
12.7500       -3392.106    -3426.018       33.912   315.3
12.8000       -3392.135    -3425.379       33.244   309.1
12.8500       -3392.337    -3426.120       33.783   314.1
12.9000       -3392.435    -3424.889       32.454   301.8
12.9500       -3392.188    -3424.010       31.822   295.9
13.0000       -3392.206    -3425.224       33.017   307.0
13.0500       -3392.065    -3424.608       32.543   302.6
13.1000       -3392.129    -3425.216       33.086   307.7
13.1500       -3391.883    -3424.954       33.070   307.5
13.2000       -3391.770    -3425.244       33.474   311.3
13.2500       -3391.938    -3424.834       32.896   305.9
13.3000       -3391.770    -3425.460       33.690   313.3
13.3500       -3392.116    -3425.648       33.532   311.8
13.4000       -3391.916    -3424.593       32.677   303.8
13.4500       -3392.238    -3425.577       33.338   310.0
13.5000       -3392.244    -3424.850       32.607   303.2
13.5500       -3392.480    -3425.518       33.037   307.2
13.6000       -3392.270    -3425.396       33.125   308.0
13.6500       -3392.373    -3424.461       32.088   298.4
13.7000       -3391.976    -3424.577       32.601   303.1
13.7500       -3391.513    -3423.813       32.300   300.3
13.8000       -3391.328    -3423.141       31.812   295.8
13.8500       -3390.990    -3423.720       32.731   304.3
13.9000       -3390.962    -3423.770       32.808   305.1
13.9500       -3390.871    -3423.683       32.811   305.1
14.0000       -3390.753    -3424.810       34.058   316.7
14.0500       -3390.940    -3423.507       32.567   302.8
14.1000       -3390.701    -3423.149       32.448   301.7
14.1500       -3390.302    -3423.411       33.110   307.9
14.2000       -3390.381    -3423.209       32.828   305.3
14.2500       -3390.558    -3425.558       35.000   325.4
14.3000       -3390.791    -3423.849       33.058   307.4
14.3500       -3390.726    -3424.547       33.821   314.5
14.4000       -3390.928    -3424.428       33.499   311.5
14.4500       -3391.165    -3424.287       33.122   308.0
14.5000       -3391.250    -3424.846       33.596   312.4
14.5500       -3391.255    -3424.474       33.219   308.9
14.6000       -3391.648    -3425.808       34.160   317.6
14.6500       -3391.743    -3425.065       33.322   309.8
14.7000       -3391.971    -3425.756       33.785   314.2
14.7500       -3391.672    -3424.462       32.790   304.9
14.8000       -3391.469    -3424.738       33.269   309.4
14.8500       -3391.698    -3425.820       34.121   317.3
14.9000       -3391.718    -3425.375       33.656   313.0
14.9500       -3391.746    -3424.242       32.496   302.2
15.0000       -3391.408    -3424.080       32.672   303.8
15.0500       -3391.206    -3424.439       33.233   309.0
15.1000       -3391.081    -3423.719       32.637   303.5
15.1500       -3391.148    -3424.745       33.598   312.4
15.2000       -3391.271    -3424.392       33.121   308.0
15.2500       -3391.427    -3424.995       33.568   312.1
15.3000       -3391.304    -3424.272       32.968   306.6
15.3500       -3390.827    -3422.890       32.063   298.1
15.4000       -3390.690    -3424.518       33.827   314.5
15.4500       -3390.787    -3423.829       33.042   307.2
15.5000       -3390.636    -3423.913       33.277   309.4
15.5500       -3390.656    -3424.279       33.623   312.6
15.6000       -3390.950    -3424.997       34.047   316.6
15.6500       -3391.053    -3424.135       33.082   307.6
15.7000       -3390.956    -3423.829       32.873   305.7
15.7500       -3390.939    -3424.085       33.147   308.2
15.8000       -3391.050    -3423.905       32.854   305.5
15.8500       -3391.298    -3425.758       34.460   320.4
15.9000       -3391.777    -3424.384       32.606   303.2
15.9500       -3391.395    -3423.836       32.442   301.7
16.0000       -3391.177    -3424.506       33.328   309.9
16.0500       -3391.298    -3425.432       34.134   317.4
16.1000       -3391.215    -3423.126       31.912   296.7
16.1500       -3391.081    -3423.693       32.612   303.2
16.2000       -3390.760    -3423.245       32.485   302.1
16.2500       -3390.907    -3423.865       32.958   306.5
16.3000       -3390.483    -3423.482       32.999   306.8
16.3500       -3390.776    -3424.476       33.700   313.4
16.4000       -3390.836    -3423.887       33.051   307.3
16.4500       -3390.981    -3424.162       33.181   308.5
16.5000       -3391.014    -3424.803       33.788   314.2
16.5500       -3390.819    -3422.764       31.945   297.0
16.6000       -3390.405    -3423.643       33.238   309.1
16.6500       -3390.642    -3424.631       33.989   316.0
16.7000       -3391.126    -3425.079       33.953   315.7
16.7500       -3391.249    -3423.503       32.254   299.9
16.8000       -3391.122    -3423.804       32.681   303.9
16.8500       -3391.155    -3424.970       33.815   314.4
16.9000       -3391.213    -3423.816       32.603   303.2
16.9500       -3391.364    -3425.264       33.900   315.2
17.0000       -3391.672    -3425.160       33.488   311.4
17.0500       -3391.222    -3422.891       31.669   294.5
17.1000       -3390.895    -3423.091       32.195   299.4
17.1500       -3391.078    -3425.174       34.096   317.0
17.2000       -3391.223    -3424.129       32.906   306.0
17.2500       -3391.122    -3424.196       33.074   307.5
17.3000       -3391.633    -3425.664       34.030   316.4
17.3500       -3391.825    -3425.921       34.096   317.0
17.4000       -3392.067    -3425.514       33.447   311.0
17.4500       -3392.103    -3424.922       32.819   305.2
17.5000       -3392.237    -3425.843       33.606   312.5
17.5500       -3391.996    -3423.976       31.980   297.4
17.6000       -3391.479    -3423.853       32.374   301.0
17.6500       -3391.408    -3424.674       33.266   309.3
17.7000       -3391.324    -3423.974       32.650   303.6
17.7500       -3391.147    -3424.154       33.007   306.9
17.8000       -3390.969    -3424.500       33.531   311.8
17.8500       -3390.955    -3424.652       33.697   313.3
17.9000       -3391.254    -3424.547       33.292   309.6
17.9500       -3391.487    -3424.241       32.754   304.6
18.0000       -3391.533    -3425.007       33.474   311.3
18.0500       -3391.226    -3423.536       32.310   300.4
18.1000       -3391.137    -3424.845       33.707   313.4
18.1500       -3391.046    -3424.084       33.038   307.2
18.2000       -3391.129    -3423.823       32.695   304.0
18.2500       -3391.130    -3424.604       33.474   311.3
18.3000       -3390.895    -3423.517       32.622   303.3
18.3500       -3390.823    -3423.826       33.003   306.9
