Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3417.900    -3417.900        0.000     0.0
0.0500        -3415.487    -3442.992       27.505   255.8
0.1000        -3412.256    -3447.513       35.257   327.8
0.1500        -3411.900    -3447.254       35.353   328.7
0.2000        -3408.477    -3438.257       29.780   276.9
0.2500        -3407.362    -3433.229       25.866   240.5
0.3000        -3407.167    -3436.872       29.704   276.2
0.3500        -3404.067    -3437.223       33.157   308.3
0.4000        -3403.557    -3428.588       25.031   232.7
0.4500        -3401.260    -3432.242       30.981   288.1
0.5000        -3401.958    -3439.228       37.270   346.6
0.5500        -3403.027    -3439.346       36.319   337.7
0.6000        -3404.785    -3440.946       36.161   336.2
0.6500        -3403.373    -3430.212       26.839   249.6
0.7000        -3402.871    -3439.395       36.524   339.6
0.7500        -3403.640    -3438.710       35.070   326.1
0.8000        -3401.784    -3433.267       31.483   292.7
0.8500        -3402.450    -3435.659       33.208   308.8
0.9000        -3401.801    -3435.202       33.400   310.6
0.9500        -3401.907    -3436.448       34.541   321.2
1.0000        -3403.082    -3431.973       28.891   268.6
1.0500        -3402.273    -3433.120       30.847   286.8
1.1000        -3401.545    -3443.168       41.623   387.0
1.1500        -3402.150    -3432.220       30.070   279.6
1.2000        -3401.685    -3424.628       22.943   213.3
