Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -3394.721    -3394.721        0.000     0.0
0.0500        -3403.317    -3430.619       27.302   253.9
0.1000        -3397.269    -3437.599       40.330   375.0
0.1500        -3398.965    -3426.976       28.011   260.5
0.2000        -3399.163    -3430.145       30.981   288.1
0.2500        -3398.284    -3427.041       28.757   267.4
0.3000        -3395.954    -3432.777       36.823   342.4
0.3500        -3398.897    -3426.501       27.604   256.7
0.4000        -3396.142    -3434.580       38.438   357.4
0.4500        -3396.944    -3424.952       28.009   260.4
0.5000        -3397.755    -3432.953       35.198   327.3
0.5500        -3394.498    -3438.935       44.437   413.2
0.6000        -3397.703    -3437.917       40.214   373.9
0.6500        -3397.960    -3427.170       29.210   271.6
0.7000        -3395.557    -3418.546       22.989   213.8
0.7500        -3391.246    -3420.223       28.977   269.4
0.8000        -3395.933    -3439.048       43.115   400.9
0.8500        -3395.072    -3420.714       25.642   238.4
0.9000        -3397.705    -3422.139       24.434   227.2
0.9500        -3392.557    -3421.398       28.841   268.2
1.0000        -3394.303    -3436.484       42.181   392.2
1.0500        -3392.355    -3416.151       23.796   221.3
1.1000        -3392.168    -3433.403       41.235   383.4
1.1500        -3396.915    -3433.471       36.556   339.9
1.2000        -3394.715    -3425.593       30.877   287.1
1.2500        -3393.557    -3431.309       37.752   351.0
1.3000        -3394.390    -3421.397       27.007   251.1
1.3500        -3393.288    -3436.898       43.611   405.5
1.4000        -3395.150    -3428.779       33.628   312.7
1.4500        -3396.445    -3431.219       34.774   323.3
1.5000        -3397.751    -3434.337       36.586   340.2
1.5500        -3394.890    -3422.998       28.107   261.4
1.6000        -3398.461    -3430.444       31.983   297.4
1.6500        -3399.296    -3437.473       38.177   355.0
1.7000        -3397.617    -3437.441       39.824   370.3
1.7500        -3398.312    -3428.192       29.881   277.8
1.8000        -3395.962    -3429.184       33.222   308.9
1.8500        -3398.708    -3427.168       28.461   264.6
1.9000        -3397.018    -3432.142       35.124   326.6
1.9500        -3397.262    -3433.834       36.572   340.1
2.0000        -3397.444    -3427.177       29.732   276.5
2.0500        -3398.101    -3429.316       31.215   290.3
2.1000        -3396.988    -3431.780       34.792   323.5
2.1500        -3396.207    -3430.296       34.089   317.0
2.2000        -3396.684    -3428.905       32.221   299.6
2.2500        -3395.875    -3427.571       31.696   294.7
2.3000        -3395.764    -3428.496       32.731   304.4
2.3500        -3395.438    -3429.825       34.387   319.7
2.4000        -3395.826    -3429.210       33.384   310.4
2.4500        -3396.373    -3428.043       31.671   294.5
2.5000        -3395.431    -3430.148       34.718   322.8
2.5500        -3395.201    -3428.989       33.788   314.2
2.6000        -3395.852    -3429.623       33.770   314.0
2.6500        -3395.400    -3427.699       32.300   300.3
2.7000        -3395.982    -3428.370       32.388   301.2
2.7500        -3395.580    -3430.194       34.615   321.9
2.8000        -3395.260    -3429.301       34.041   316.5
2.8500        -3395.463    -3427.182       31.719   294.9
2.9000        -3395.298    -3428.345       33.047   307.3
2.9500        -3395.718    -3429.495       33.777   314.1
3.0000        -3395.950    -3428.485       32.536   302.5
3.0500        -3395.652    -3429.405       33.753   313.9
3.1000        -3395.968    -3429.120       33.152   308.3
3.1500        -3395.703    -3428.952       33.249   309.2
3.2000        -3395.973    -3429.497       33.524   311.7
3.2500        -3395.826    -3429.465       33.640   312.8
3.3000        -3395.482    -3428.756       33.275   309.4
3.3500        -3395.236    -3428.386       33.150   308.2
3.4000        -3395.386    -3429.174       33.787   314.2
3.4500        -3395.747    -3429.429       33.683   313.2
3.5000        -3395.592    -3429.516       33.924   315.4
3.5500        -3394.993    -3428.164       33.171   308.4
3.6000        -3395.010    -3429.516       34.507   320.9
3.6500        -3395.346    -3429.969       34.624   321.9
3.7000        -3395.614    -3429.957       34.343   319.3
3.7500        -3395.393    -3429.146       33.753   313.9
3.8000        -3395.668    -3428.766       33.098   307.8
3.8500        -3395.384    -3428.400       33.016   307.0
3.9000        -3395.822    -3429.518       33.696   313.3
3.9500        -3395.551    -3429.261       33.710   313.5
4.0000        -3395.872    -3430.024       34.152   317.6
4.0500        -3395.911    -3429.948       34.038   316.5
4.1000        -3395.569    -3428.973       33.404   310.6
4.1500        -3395.567    -3429.203       33.636   312.8
4.2000        -3395.759    -3429.398       33.640   312.8
4.2500        -3395.713    -3428.870       33.156   308.3
4.3000        -3395.663    -3430.252       34.589   321.6
4.3500        -3395.551    -3428.777       33.226   308.9
4.4000        -3395.420    -3429.463       34.043   316.5
4.4500        -3395.861    -3428.270       32.408   301.3
4.5000        -3395.902    -3430.322       34.420   320.1
4.5500        -3396.503    -3430.920       34.418   320.0
4.6000        -3396.048    -3429.118       33.070   307.5
4.6500        -3396.311    -3429.050       32.739   304.4
