Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1841.784    -1841.784        0.000     0.0
2.5000        -1802.043    -1824.048       22.005   417.3
5.0000        -1802.098    -1822.106       20.008   379.4
7.5000        -1801.753    -1823.856       22.103   419.1
10.0000       -1802.135    -1823.864       21.729   412.0
12.5000       -1801.702    -1822.796       21.094   400.0
15.0000       -1802.758    -1823.579       20.821   394.8
17.5000       -1802.588    -1823.899       21.310   404.1
20.0000       -1801.824    -1822.738       20.914   396.6
22.5000       -1802.064    -1823.231       21.166   401.4
25.0000       -1802.330    -1823.181       20.850   395.4
27.5000       -1801.925    -1823.339       21.415   406.1
30.0000       -1801.845    -1823.401       21.556   408.7
32.5000       -1802.305    -1823.705       21.400   405.8
35.0000       -1801.751    -1822.340       20.589   390.4
37.5000       -1802.232    -1822.638       20.406   386.9
40.0000       -1802.440    -1823.801       21.361   405.0
42.5000       -1802.124    -1823.399       21.275   403.4
45.0000       -1802.460    -1824.662       22.202   421.0
47.5000       -1802.009    -1822.641       20.633   391.2
50.0000       -1801.756    -1823.603       21.847   414.2
