Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1781.133    -1813.848       32.715   620.3
0.2000        -1781.881    -1814.607       32.726   620.5
0.4000        -1780.855    -1813.246       32.391   614.2
0.6000        -1781.493    -1813.532       32.039   607.5
0.8000        -1781.330    -1813.295       31.965   606.1
1.0000        -1783.601    -1813.583       29.982   568.5
1.2000        -1785.241    -1814.744       29.504   559.4
1.4000        -1783.756    -1815.397       31.640   600.0
1.6000        -1783.838    -1812.499       28.661   543.5
1.8000        -1785.195    -1814.652       29.457   558.6
2.0000        -1781.290    -1813.102       31.813   603.2
2.2000        -1782.134    -1814.202       32.068   608.1
2.4000        -1783.842    -1812.579       28.736   544.9
2.6000        -1783.930    -1815.572       31.642   600.0
2.8000        -1780.832    -1813.193       32.360   613.6
3.0000        -1780.971    -1812.502       31.531   597.9
3.2000        -1782.034    -1813.380       31.346   594.4
3.4000        -1782.353    -1813.305       30.952   586.9
3.6000        -1783.837    -1815.149       31.311   593.7
3.8000        -1784.336    -1813.385       29.049   550.8
4.0000        -1782.121    -1811.690       29.569   560.7
4.2000        -1782.313    -1813.498       31.185   591.3
4.4000        -1783.998    -1815.137       31.139   590.5
4.6000        -1782.304    -1814.670       32.366   613.7
4.8000        -1781.815    -1811.885       30.069   570.2
5.0000        -1780.484    -1812.306       31.822   603.4
5.2000        -1782.134    -1814.381       32.247   611.5
5.4000        -1781.493    -1813.823       32.330   613.0
5.6000        -1783.373    -1813.927       30.554   579.3
5.8000        -1781.049    -1812.965       31.916   605.2
6.0000        -1781.272    -1811.341       30.069   570.2
6.2000        -1781.832    -1814.643       32.811   622.1
6.4000        -1785.237    -1813.726       28.489   540.2
6.6000        -1784.311    -1814.369       30.058   569.9
6.8000        -1782.340    -1812.469       30.129   571.3
7.0000        -1782.285    -1813.252       30.967   587.2
7.2000        -1784.727    -1813.907       29.180   553.3
7.4000        -1784.131    -1813.265       29.134   552.4
7.6000        -1784.598    -1813.278       28.680   543.8
7.8000        -1784.945    -1813.063       28.118   533.2
8.0000        -1782.761    -1813.375       30.614   580.5
8.2000        -1782.139    -1812.770       30.631   580.8
8.4000        -1782.082    -1812.460       30.378   576.0
8.6000        -1780.493    -1813.282       32.789   621.7
8.8000        -1778.847    -1811.201       32.354   613.5
9.0000        -1780.966    -1812.523       31.557   598.4
9.2000        -1781.773    -1813.097       31.323   593.9
9.4000        -1781.067    -1811.213       30.146   571.6
