Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1570.841    -1570.841        0.000     0.0
2.5000        -1689.571    -1705.261       15.690   297.5
5.0000        -1691.557    -1707.881       16.324   309.5
7.5000        -1692.635    -1708.840       16.205   307.3
10.0000       -1694.593    -1709.957       15.364   291.3
12.5000       -1695.476    -1710.804       15.328   290.6
15.0000       -1696.507    -1712.059       15.551   294.9
17.5000       -1696.366    -1712.100       15.734   298.3
20.0000       -1697.388    -1712.981       15.593   295.7
22.5000       -1698.279    -1714.901       16.622   315.2
25.0000       -1696.993    -1712.426       15.433   292.6
27.5000       -1698.487    -1714.002       15.515   294.2
30.0000       -1697.738    -1712.998       15.260   289.4
32.5000       -1698.242    -1713.655       15.413   292.2
35.0000       -1698.104    -1714.298       16.194   307.1
37.5000       -1698.071    -1713.650       15.579   295.4
40.0000       -1699.479    -1714.878       15.399   292.0
42.5000       -1699.254    -1714.950       15.696   297.6
45.0000       -1700.096    -1715.829       15.733   298.3
47.5000       -1700.265    -1716.336       16.071   304.7
50.0000       -1700.488    -1715.781       15.293   290.0
