Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1677.998    -1704.750       26.753   507.3
0.2000        -1679.141    -1703.526       24.385   462.4
0.4000        -1678.940    -1703.284       24.344   461.6
0.6000        -1679.844    -1705.105       25.262   479.0
0.8000        -1679.594    -1705.565       25.971   492.5
1.0000        -1678.216    -1704.906       26.690   506.1
1.2000        -1680.039    -1704.307       24.268   460.2
1.4000        -1678.765    -1704.952       26.188   496.6
1.6000        -1679.099    -1704.537       25.438   482.3
1.8000        -1678.575    -1704.479       25.904   491.2
2.0000        -1679.024    -1704.084       25.060   475.2
2.2000        -1677.941    -1704.260       26.319   499.0
2.4000        -1678.279    -1705.706       27.428   520.1
2.6000        -1679.631    -1705.352       25.722   487.7
2.8000        -1678.319    -1704.195       25.875   490.6
3.0000        -1677.324    -1702.769       25.445   482.5
3.2000        -1679.372    -1705.695       26.323   499.1
3.4000        -1679.609    -1705.425       25.816   489.5
3.6000        -1678.019    -1703.440       25.421   482.0
3.8000        -1677.693    -1704.689       26.996   511.9
4.0000        -1678.160    -1704.496       26.336   499.4
4.2000        -1678.519    -1704.118       25.599   485.4
4.4000        -1678.063    -1703.570       25.506   483.6
4.6000        -1675.994    -1704.563       28.569   541.7
4.8000        -1677.078    -1704.628       27.551   522.4
5.0000        -1677.272    -1704.660       27.389   519.3
5.2000        -1676.308    -1702.064       25.755   488.4
5.4000        -1676.651    -1703.316       26.664   505.6
5.6000        -1675.572    -1702.222       26.649   505.3
5.8000        -1676.365    -1701.347       24.981   473.7
6.0000        -1676.913    -1702.868       25.955   492.1
6.2000        -1676.620    -1703.968       27.348   518.6
6.4000        -1677.001    -1702.203       25.202   477.9
6.6000        -1677.992    -1704.177       26.185   496.5
6.8000        -1678.582    -1704.244       25.662   486.6
7.0000        -1679.158    -1704.062       24.904   472.2
7.2000        -1676.800    -1702.849       26.048   493.9
7.4000        -1676.645    -1703.636       26.991   511.8
7.6000        -1677.547    -1702.945       25.398   481.6
7.8000        -1677.515    -1704.106       26.591   504.2
