Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1748.793    -1748.793        0.000     0.0
2.5000        -1685.979    -1716.964       30.985   587.5
5.0000        -1686.632    -1718.996       32.364   613.7
7.5000        -1687.369    -1719.076       31.707   601.2
10.0000       -1686.423    -1717.311       30.888   585.7
12.5000       -1686.630    -1717.974       31.343   594.3
15.0000       -1686.640    -1720.509       33.870   642.2
17.5000       -1686.759    -1718.151       31.392   595.2
20.0000       -1687.047    -1719.063       32.016   607.1
22.5000       -1687.091    -1718.289       31.198   591.6
25.0000       -1686.893    -1718.458       31.565   598.5
27.5000       -1686.976    -1719.522       32.546   617.1
30.0000       -1685.805    -1716.394       30.589   580.0
32.5000       -1686.801    -1718.974       32.173   610.1
35.0000       -1686.959    -1718.690       31.731   601.7
37.5000       -1686.818    -1718.031       31.213   591.8
40.0000       -1686.943    -1716.711       29.769   564.5
42.5000       -1686.777    -1717.358       30.580   579.9
45.0000       -1686.842    -1718.450       31.608   599.3
47.5000       -1686.422    -1716.938       30.516   578.6
50.0000       -1686.729    -1717.289       30.560   579.5
