Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1686.670    -1718.235       31.565   598.5
0.2000        -1686.585    -1718.148       31.563   598.5
0.4000        -1686.478    -1718.405       31.927   605.4
0.6000        -1686.333    -1717.777       31.444   596.2
0.8000        -1686.489    -1717.806       31.317   593.8
1.0000        -1687.363    -1718.387       31.023   588.3
1.2000        -1686.769    -1718.225       31.456   596.5
1.4000        -1689.291    -1720.566       31.275   593.0
1.6000        -1690.212    -1721.595       31.383   595.1
1.8000        -1689.698    -1719.488       29.790   564.9
2.0000        -1686.317    -1717.460       31.143   590.5
2.2000        -1685.191    -1718.071       32.880   623.5
2.4000        -1686.285    -1717.898       31.614   599.4
2.6000        -1687.276    -1719.237       31.961   606.0
2.8000        -1688.479    -1719.394       30.914   586.2
3.0000        -1688.910    -1720.450       31.540   598.1
3.2000        -1689.340    -1720.874       31.534   597.9
3.4000        -1687.237    -1718.707       31.469   596.7
3.6000        -1689.023    -1719.410       30.387   576.2
3.8000        -1688.175    -1718.623       30.448   577.3
4.0000        -1687.263    -1718.107       30.844   584.9
4.2000        -1688.140    -1719.732       31.592   599.0
4.4000        -1687.251    -1719.002       31.752   602.1
4.6000        -1688.573    -1719.396       30.823   584.5
4.8000        -1689.806    -1720.854       31.048   588.7
5.0000        -1690.363    -1719.868       29.505   559.5
5.2000        -1692.414    -1721.980       29.566   560.6
5.4000        -1689.625    -1719.600       29.975   568.4
5.6000        -1690.109    -1719.386       29.277   555.1
5.8000        -1688.250    -1720.012       31.763   602.3
6.0000        -1690.134    -1719.384       29.250   554.6
6.2000        -1690.959    -1722.066       31.107   589.8
6.4000        -1688.417    -1719.082       30.665   581.5
6.6000        -1687.121    -1719.180       32.059   607.9
6.8000        -1685.803    -1718.179       32.377   613.9
7.0000        -1682.772    -1715.810       33.038   626.5
7.2000        -1685.731    -1719.738       34.007   644.8
7.4000        -1683.737    -1717.871       34.134   647.2
7.6000        -1686.118    -1718.683       32.564   617.5
7.8000        -1686.095    -1718.990       32.895   623.7
8.0000        -1686.483    -1719.414       32.932   624.4
8.2000        -1687.507    -1719.598       32.091   608.5
8.4000        -1689.428    -1719.097       29.669   562.6
8.6000        -1688.222    -1719.033       30.811   584.2
8.8000        -1688.379    -1718.303       29.924   567.4
9.0000        -1689.433    -1719.733       30.301   574.5
9.2000        -1689.094    -1720.620       31.525   597.8
9.4000        -1687.121    -1718.499       31.378   595.0
9.6000        -1687.603    -1718.207       30.603   580.3
9.8000        -1688.569    -1717.898       29.329   556.1
10.0000       -1688.679    -1719.641       30.963   587.1
10.2000       -1687.317    -1719.847       32.530   616.8
10.4000       -1686.412    -1717.143       30.731   582.7
10.6000       -1685.873    -1717.346       31.473   596.8
10.8000       -1688.944    -1718.474       29.529   559.9
11.0000       -1687.988    -1719.450       31.462   596.6
11.2000       -1689.690    -1719.509       29.819   565.4
11.4000       -1689.870    -1720.699       30.829   584.6
11.6000       -1689.288    -1720.060       30.772   583.5
11.8000       -1689.223    -1719.516       30.292   574.4
12.0000       -1687.492    -1719.073       31.582   598.8
12.2000       -1690.274    -1720.554       30.280   574.2
12.4000       -1687.967    -1718.938       30.971   587.3
12.6000       -1688.308    -1719.825       31.517   597.6
12.8000       -1689.147    -1720.573       31.426   595.9
13.0000       -1687.956    -1718.962       31.006   587.9
13.2000       -1688.329    -1718.633       30.303   574.6
13.4000       -1686.435    -1717.182       30.747   583.0
13.6000       -1686.280    -1718.677       32.397   614.3
13.8000       -1685.925    -1718.232       32.307   612.6
14.0000       -1686.507    -1718.569       32.062   607.9
14.2000       -1687.023    -1716.810       29.787   564.8
14.4000       -1684.440    -1717.990       33.550   636.2
14.6000       -1685.158    -1717.908       32.750   621.0
14.8000       -1687.858    -1719.283       31.425   595.9
15.0000       -1689.866    -1720.705       30.839   584.8
15.2000       -1686.464    -1719.237       32.773   621.4
15.4000       -1686.309    -1719.035       32.726   620.5
15.6000       -1688.711    -1720.394       31.683   600.8
15.8000       -1686.438    -1718.927       32.489   616.0
16.0000       -1685.206    -1718.297       33.092   627.5
16.2000       -1687.426    -1718.857       31.431   596.0
16.4000       -1686.896    -1717.629       30.734   582.8
16.6000       -1686.480    -1717.959       31.479   596.9
16.8000       -1688.256    -1718.414       30.157   571.8
17.0000       -1688.235    -1718.565       30.330   575.1
17.2000       -1689.297    -1720.448       31.150   590.7
17.4000       -1690.149    -1720.055       29.907   567.1
17.6000       -1687.693    -1718.391       30.698   582.1
17.8000       -1687.947    -1719.446       31.499   597.3
18.0000       -1686.842    -1717.290       30.448   577.4
18.2000       -1685.971    -1717.467       31.495   597.2
18.4000       -1684.962    -1717.530       32.567   617.5
18.6000       -1684.796    -1719.450       34.655   657.1
18.8000       -1686.407    -1717.602       31.195   591.5
19.0000       -1687.230    -1719.602       32.371   613.8
19.2000       -1689.439    -1717.935       28.496   540.3
19.4000       -1687.188    -1719.734       32.546   617.1
19.6000       -1687.797    -1718.888       31.091   589.5
19.8000       -1688.141    -1720.394       32.253   611.6
20.0000       -1688.606    -1719.815       31.210   591.8
20.2000       -1690.185    -1719.322       29.137   552.5
20.4000       -1686.522    -1718.280       31.758   602.2
20.6000       -1689.292    -1720.188       30.896   585.8
20.8000       -1686.887    -1719.263       32.376   613.9
21.0000       -1687.545    -1717.971       30.427   576.9
21.2000       -1685.826    -1718.432       32.607   618.3
21.4000       -1683.769    -1717.747       33.978   644.3
21.6000       -1687.584    -1718.376       30.792   583.9
21.8000       -1687.932    -1719.209       31.277   593.1
22.0000       -1687.963    -1720.397       32.434   615.0
22.2000       -1690.479    -1719.990       29.511   559.6
22.4000       -1690.480    -1720.510       30.031   569.4
22.6000       -1690.866    -1719.763       28.897   547.9
22.8000       -1687.612    -1720.263       32.651   619.1
23.0000       -1685.457    -1718.540       33.083   627.3
23.2000       -1688.172    -1719.969       31.796   602.9
23.4000       -1685.330    -1717.854       32.524   616.7
23.6000       -1687.880    -1718.945       31.065   589.0
23.8000       -1689.177    -1718.710       29.533   560.0
24.0000       -1685.950    -1717.870       31.920   605.3
24.2000       -1685.776    -1717.769       31.993   606.6
24.4000       -1686.148    -1718.913       32.765   621.3
24.6000       -1684.507    -1717.902       33.395   633.2
24.8000       -1685.489    -1717.579       32.090   608.5
25.0000       -1687.156    -1718.442       31.287   593.2
25.2000       -1684.659    -1718.686       34.026   645.2
25.4000       -1684.370    -1717.241       32.871   623.3
25.6000       -1685.254    -1719.603       34.349   651.3
25.8000       -1687.022    -1719.406       32.384   614.1
26.0000       -1685.591    -1717.342       31.751   602.0
26.2000       -1687.201    -1718.198       30.997   587.7
26.4000       -1685.244    -1717.984       32.739   620.8
26.6000       -1684.698    -1715.515       30.817   584.3
26.8000       -1691.096    -1721.098       30.002   568.9
27.0000       -1690.442    -1718.802       28.360   537.8
27.2000       -1690.219    -1719.862       29.642   562.1
27.4000       -1689.908    -1718.250       28.341   537.4
27.6000       -1692.200    -1722.953       30.752   583.1
27.8000       -1690.550    -1719.811       29.261   554.8
28.0000       -1687.783    -1719.058       31.276   593.0
28.2000       -1689.420    -1718.939       29.519   559.7
28.4000       -1690.552    -1719.198       28.646   543.2
28.6000       -1686.405    -1718.558       32.153   609.7
28.8000       -1685.942    -1717.860       31.918   605.2
29.0000       -1685.676    -1718.411       32.734   620.7
29.2000       -1686.737    -1719.650       32.913   624.1
29.4000       -1689.069    -1719.929       30.860   585.2
29.6000       -1689.555    -1718.855       29.300   555.6
29.8000       -1688.078    -1718.908       30.829   584.6
30.0000       -1685.683    -1718.975       33.292   631.3
30.2000       -1686.144    -1717.803       31.660   600.3
30.4000       -1686.723    -1718.683       31.960   606.0
30.6000       -1685.883    -1717.321       31.439   596.1
30.8000       -1688.522    -1721.293       32.771   621.4
31.0000       -1689.592    -1719.249       29.657   562.4
31.2000       -1687.349    -1718.288       30.939   586.7
31.4000       -1688.142    -1720.001       31.859   604.1
31.6000       -1687.172    -1719.678       32.507   616.4
31.8000       -1688.780    -1719.225       30.445   577.3
32.0000       -1689.202    -1719.432       30.230   573.2
32.2000       -1689.994    -1720.177       30.184   572.3
32.4000       -1689.529    -1721.244       31.715   601.4
32.6000       -1688.139    -1720.471       32.333   613.1
32.8000       -1688.331    -1718.964       30.633   580.9
33.0000       -1688.343    -1718.758       30.415   576.7
33.2000       -1686.786    -1718.067       31.281   593.1
33.4000       -1686.177    -1718.233       32.055   607.8
33.6000       -1686.511    -1718.425       31.914   605.1
33.8000       -1685.938    -1719.228       33.289   631.2
34.0000       -1685.505    -1718.774       33.270   630.8
34.2000       -1689.058    -1719.333       30.275   574.1
34.4000       -1687.259    -1718.205       30.946   586.8
34.6000       -1686.690    -1717.996       31.306   593.6
34.8000       -1686.001    -1718.807       32.806   622.1
35.0000       -1686.903    -1718.470       31.567   598.6
35.2000       -1685.897    -1717.139       31.242   592.4
35.4000       -1686.504    -1718.106       31.602   599.2
35.6000       -1684.963    -1716.325       31.361   594.7
35.8000       -1683.062    -1716.151       33.089   627.4
36.0000       -1683.027    -1716.737       33.710   639.2
36.2000       -1683.569    -1718.252       34.682   657.6
36.4000       -1686.749    -1718.373       31.624   599.6
36.6000       -1684.548    -1717.178       32.629   618.7
36.8000       -1683.669    -1716.242       32.573   617.6
37.0000       -1687.188    -1718.529       31.340   594.3
37.2000       -1687.066    -1717.815       30.749   583.1
37.4000       -1688.344    -1720.267       31.923   605.3
37.6000       -1690.175    -1721.268       31.093   589.6
37.8000       -1684.526    -1717.115       32.589   617.9
38.0000       -1686.326    -1716.431       30.105   570.8
38.2000       -1689.218    -1719.615       30.397   576.4
38.4000       -1689.305    -1718.202       28.898   547.9
38.6000       -1685.911    -1719.722       33.811   641.1
38.8000       -1685.500    -1717.585       32.085   608.4
39.0000       -1684.287    -1717.061       32.774   621.5
39.2000       -1684.881    -1717.895       33.014   626.0
39.4000       -1685.138    -1717.754       32.616   618.5
39.6000       -1688.553    -1718.665       30.112   571.0
39.8000       -1689.078    -1720.514       31.436   596.1
40.0000       -1687.456    -1718.308       30.852   585.0
40.2000       -1685.119    -1719.279       34.160   647.7
40.4000       -1688.957    -1719.733       30.776   583.6
40.6000       -1688.319    -1718.683       30.364   575.8
40.8000       -1688.278    -1720.986       32.708   620.2
41.0000       -1687.486    -1720.145       32.659   619.3
41.2000       -1685.580    -1717.592       32.011   607.0
41.4000       -1686.015    -1718.787       32.772   621.4
41.6000       -1685.293    -1716.890       31.597   599.1
41.8000       -1684.325    -1719.392       35.067   664.9
42.0000       -1686.383    -1718.555       32.172   610.0
42.2000       -1688.867    -1719.561       30.693   582.0
42.4000       -1689.849    -1719.082       29.233   554.3
42.6000       -1687.667    -1719.657       31.989   606.6
42.8000       -1691.127    -1718.915       27.788   526.9
43.0000       -1690.261    -1721.948       31.686   600.8
43.2000       -1688.661    -1718.533       29.873   566.4
43.4000       -1686.695    -1717.594       30.898   585.9
43.6000       -1685.106    -1717.274       32.168   609.9
43.8000       -1685.849    -1717.767       31.918   605.2
44.0000       -1682.963    -1716.946       33.983   644.4
44.2000       -1684.633    -1717.871       33.238   630.2
44.4000       -1684.403    -1716.611       32.208   610.7
44.6000       -1684.121    -1717.984       33.864   642.1
44.8000       -1685.975    -1718.753       32.778   621.5
45.0000       -1683.839    -1716.092       32.254   611.6
45.2000       -1684.502    -1717.750       33.248   630.4
45.4000       -1685.238    -1718.105       32.867   623.2
45.6000       -1684.313    -1718.958       34.645   656.9
45.8000       -1685.454    -1717.571       32.117   609.0
46.0000       -1686.613    -1717.052       30.439   577.2
46.2000       -1687.275    -1720.107       32.832   622.5
46.4000       -1686.184    -1718.353       32.169   610.0
46.6000       -1686.161    -1719.067       32.906   623.9
46.8000       -1685.431    -1716.861       31.431   596.0
47.0000       -1688.224    -1718.738       30.514   578.6
47.2000       -1686.114    -1718.441       32.327   613.0
47.4000       -1687.075    -1719.183       32.108   608.8
47.6000       -1686.720    -1717.355       30.636   580.9
47.8000       -1686.829    -1721.179       34.351   651.3
48.0000       -1686.383    -1718.721       32.339   613.2
48.2000       -1685.260    -1716.925       31.664   600.4
48.4000       -1685.648    -1718.693       33.045   626.6
48.6000       -1686.749    -1717.930       31.181   591.2
48.8000       -1688.662    -1719.539       30.877   585.5
49.0000       -1688.092    -1719.339       31.247   592.5
49.2000       -1690.112    -1719.474       29.362   556.8
49.4000       -1690.756    -1719.060       28.303   536.7
49.6000       -1689.028    -1719.376       30.348   575.4
49.8000       -1689.451    -1720.007       30.556   579.4
50.0000       -1689.585    -1719.954       30.369   575.8
50.2000       -1688.201    -1720.783       32.582   617.8
50.4000       -1688.272    -1718.441       30.169   572.1
50.6000       -1688.714    -1720.402       31.688   600.9
50.8000       -1687.202    -1718.488       31.286   593.2
51.0000       -1685.693    -1716.571       30.878   585.5
51.2000       -1685.926    -1715.631       29.705   563.3
51.4000       -1686.042    -1718.929       32.887   623.6
51.6000       -1685.124    -1716.401       31.277   593.1
51.8000       -1684.708    -1718.426       33.718   639.4
52.0000       -1684.518    -1715.982       31.465   596.6
52.2000       -1686.712    -1718.062       31.350   594.4
52.4000       -1686.297    -1718.060       31.762   602.3
52.6000       -1685.920    -1716.496       30.575   579.8
52.8000       -1686.862    -1716.206       29.343   556.4
53.0000       -1688.180    -1718.185       30.005   568.9
53.2000       -1689.693    -1718.603       28.910   548.2
53.4000       -1689.375    -1719.164       29.790   564.9
53.6000       -1689.841    -1720.247       30.406   576.5
53.8000       -1687.790    -1719.400       31.610   599.4
54.0000       -1685.840    -1718.302       32.462   615.5
54.2000       -1685.799    -1717.457       31.658   600.3
54.4000       -1688.062    -1721.023       32.962   625.0
54.6000       -1688.908    -1718.126       29.218   554.0
54.8000       -1688.092    -1720.133       32.041   607.5
55.0000       -1690.885    -1719.354       28.469   539.8
55.2000       -1690.357    -1720.747       30.389   576.2
55.4000       -1687.548    -1719.552       32.004   606.8
55.6000       -1688.153    -1720.048       31.894   604.8
55.8000       -1686.773    -1716.966       30.193   572.5
56.0000       -1688.102    -1718.165       30.063   570.0
56.2000       -1690.400    -1720.328       29.927   567.5
56.4000       -1689.974    -1722.661       32.686   619.8
56.6000       -1686.448    -1718.078       31.629   599.7
56.8000       -1686.606    -1717.934       31.328   594.0
57.0000       -1687.543    -1718.612       31.070   589.1
57.2000       -1688.782    -1719.961       31.179   591.2
57.4000       -1687.242    -1718.104       30.862   585.2
57.6000       -1687.725    -1719.036       31.310   593.7
57.8000       -1689.140    -1718.790       29.650   562.2
58.0000       -1689.162    -1719.845       30.683   581.8
58.2000       -1691.316    -1721.219       29.903   567.0
58.4000       -1688.750    -1721.075       32.325   612.9
58.6000       -1688.897    -1720.454       31.558   598.4
58.8000       -1688.219    -1720.674       32.455   615.4
59.0000       -1688.390    -1718.282       29.892   566.8
59.2000       -1686.840    -1718.435       31.595   599.1
59.4000       -1686.318    -1718.268       31.950   605.8
59.6000       -1689.221    -1717.343       28.122   533.2
59.8000       -1686.759    -1718.283       31.524   597.8
60.0000       -1686.649    -1719.128       32.479   615.9
60.2000       -1688.620    -1718.701       30.081   570.4
60.4000       -1688.319    -1717.964       29.644   562.1
60.6000       -1688.736    -1720.557       31.820   603.4
60.8000       -1690.360    -1720.988       30.628   580.8
61.0000       -1689.474    -1720.092       30.618   580.6
61.2000       -1688.215    -1721.835       33.620   637.5
61.4000       -1687.581    -1718.777       31.196   591.5
61.6000       -1688.051    -1718.121       30.070   570.2
61.8000       -1688.480    -1720.333       31.853   604.0
62.0000       -1686.406    -1719.145       32.738   620.8
62.2000       -1685.675    -1715.760       30.085   570.5
62.4000       -1685.153    -1717.877       32.725   620.5
62.6000       -1685.282    -1718.111       32.829   622.5
62.8000       -1685.362    -1719.048       33.686   638.7
63.0000       -1683.324    -1718.560       35.236   668.1
63.2000       -1685.223    -1718.517       33.295   631.3
63.4000       -1685.536    -1719.032       33.496   635.1
63.6000       -1686.052    -1715.896       29.844   565.9
63.8000       -1687.571    -1717.469       29.897   566.9
64.0000       -1687.215    -1718.442       31.227   592.1
64.2000       -1685.814    -1717.703       31.889   604.7
64.4000       -1687.389    -1719.229       31.841   603.7
64.6000       -1685.495    -1719.419       33.925   643.3
64.8000       -1684.119    -1717.720       33.601   637.1
65.0000       -1686.598    -1717.148       30.551   579.3
65.2000       -1687.672    -1718.182       30.510   578.5
65.4000       -1687.816    -1717.952       30.136   571.4
65.6000       -1688.446    -1718.604       30.159   571.9
65.8000       -1688.349    -1718.803       30.455   577.5
66.0000       -1686.848    -1718.043       31.195   591.5
66.2000       -1686.296    -1716.689       30.393   576.3
66.4000       -1685.459    -1717.998       32.538   617.0
66.6000       -1687.972    -1719.348       31.376   594.9
66.8000       -1687.605    -1720.275       32.670   619.5
67.0000       -1690.224    -1721.311       31.087   589.5
67.2000       -1690.739    -1720.111       29.372   556.9
67.4000       -1690.540    -1720.228       29.688   562.9
67.6000       -1686.933    -1719.545       32.612   618.4
67.8000       -1687.508    -1719.629       32.121   609.1
68.0000       -1684.676    -1715.689       31.013   588.1
68.2000       -1686.514    -1718.014       31.500   597.3
68.4000       -1688.361    -1719.766       31.405   595.5
68.6000       -1687.824    -1719.755       31.931   605.5
68.8000       -1687.326    -1719.194       31.868   604.3
69.0000       -1689.852    -1720.228       30.376   576.0
69.2000       -1689.932    -1719.288       29.357   556.7
69.4000       -1689.440    -1719.058       29.619   561.6
69.6000       -1687.990    -1720.053       32.063   608.0
69.8000       -1686.077    -1718.407       32.330   613.0
70.0000       -1685.054    -1717.833       32.779   621.5
70.2000       -1685.662    -1719.362       33.700   639.0
70.4000       -1687.846    -1719.907       32.060   607.9
70.6000       -1687.090    -1717.638       30.548   579.2
70.8000       -1686.968    -1718.997       32.029   607.3
71.0000       -1685.198    -1719.016       33.818   641.2
71.2000       -1684.330    -1718.535       34.204   648.6
71.4000       -1683.523    -1716.557       33.035   626.4
71.6000       -1683.796    -1716.260       32.464   615.6
71.8000       -1684.937    -1716.812       31.874   604.4
72.0000       -1686.344    -1719.133       32.789   621.7
72.2000       -1687.191    -1719.856       32.665   619.4
72.4000       -1686.774    -1717.562       30.788   583.8
72.6000       -1687.173    -1717.894       30.721   582.5
72.8000       -1687.482    -1718.675       31.193   591.5
73.0000       -1685.600    -1718.434       32.834   622.6
73.2000       -1687.727    -1718.906       31.179   591.2
73.4000       -1686.493    -1718.197       31.704   601.2
73.6000       -1687.017    -1719.463       32.446   615.2
73.8000       -1686.926    -1719.688       32.763   621.2
74.0000       -1686.047    -1717.789       31.742   601.9
