Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1744.860    -1744.860        0.000     0.0
2.5000        -1713.136    -1729.038       15.902   301.5
5.0000        -1713.278    -1729.140       15.862   300.8
7.5000        -1713.291    -1729.266       15.974   302.9
10.0000       -1713.761    -1729.197       15.436   292.7
12.5000       -1713.509    -1729.909       16.400   311.0
15.0000       -1712.986    -1728.965       15.979   303.0
17.5000       -1714.040    -1730.233       16.194   307.1
20.0000       -1714.318    -1729.714       15.396   291.9
22.5000       -1714.044    -1730.391       16.347   310.0
25.0000       -1714.591    -1730.756       16.165   306.5
27.5000       -1714.202    -1730.678       16.476   312.4
30.0000       -1714.008    -1729.702       15.695   297.6
32.5000       -1714.786    -1730.611       15.825   300.1
35.0000       -1713.871    -1729.920       16.049   304.3
37.5000       -1714.391    -1730.973       16.582   314.4
40.0000       -1714.687    -1729.916       15.228   288.8
42.5000       -1714.443    -1730.873       16.429   311.5
45.0000       -1714.494    -1730.260       15.765   298.9
47.5000       -1714.584    -1731.083       16.499   312.8
50.0000       -1714.192    -1729.700       15.508   294.1
