Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1702.579    -1723.731       21.152   401.1
0.2000        -1701.851    -1724.621       22.769   431.7
0.4000        -1701.836    -1725.128       23.293   441.7
0.6000        -1701.591    -1724.055       22.463   425.9
0.8000        -1703.068    -1725.259       22.191   420.8
1.0000        -1701.278    -1723.396       22.117   419.4
1.2000        -1700.081    -1722.140       22.059   418.3
1.4000        -1699.026    -1721.132       22.105   419.2
1.6000        -1699.631    -1722.463       22.832   432.9
1.8000        -1700.478    -1722.320       21.843   414.2
2.0000        -1701.355    -1724.765       23.410   443.9
2.2000        -1701.358    -1722.797       21.439   406.5
2.4000        -1702.445    -1724.240       21.795   413.3
2.6000        -1703.282    -1724.583       21.302   403.9
2.8000        -1703.122    -1725.273       22.151   420.0
3.0000        -1702.911    -1724.552       21.640   410.3
3.2000        -1703.069    -1725.082       22.014   417.4
3.4000        -1701.669    -1723.382       21.713   411.7
3.6000        -1700.646    -1722.520       21.875   414.8
3.8000        -1701.427    -1723.443       22.016   417.5
4.0000        -1701.911    -1723.591       21.679   411.1
4.2000        -1702.859    -1724.371       21.512   407.9
4.4000        -1703.120    -1723.199       20.079   380.7
4.6000        -1701.517    -1722.854       21.337   404.6
4.8000        -1701.098    -1722.994       21.896   415.2
5.0000        -1700.975    -1723.500       22.525   427.1
5.2000        -1702.470    -1723.943       21.472   407.1
5.4000        -1702.316    -1725.142       22.826   432.8
5.6000        -1702.371    -1724.228       21.856   414.4
5.8000        -1702.391    -1724.936       22.545   427.5
6.0000        -1704.431    -1724.444       20.014   379.5
6.2000        -1705.105    -1725.191       20.086   380.9
6.4000        -1705.849    -1725.398       19.549   370.7
6.6000        -1704.663    -1725.705       21.042   399.0
6.8000        -1703.952    -1725.698       21.745   412.3
7.0000        -1701.502    -1723.179       21.677   411.0
7.2000        -1702.092    -1724.627       22.535   427.3
7.4000        -1701.586    -1724.354       22.767   431.7
7.6000        -1702.327    -1723.579       21.252   403.0
7.8000        -1702.559    -1723.642       21.084   399.8
8.0000        -1702.828    -1723.712       20.884   396.0
8.2000        -1701.781    -1724.080       22.299   422.8
8.4000        -1700.713    -1723.829       23.116   438.3
8.6000        -1700.866    -1723.964       23.098   438.0
8.8000        -1700.905    -1723.277       22.372   424.2
9.0000        -1699.275    -1722.519       23.243   440.7
9.2000        -1701.419    -1723.806       22.387   424.5
9.4000        -1701.495    -1725.051       23.557   446.7
9.6000        -1700.332    -1722.457       22.125   419.5
9.8000        -1703.261    -1724.066       20.805   394.5
10.0000       -1703.524    -1725.069       21.545   408.5
10.2000       -1701.688    -1723.784       22.095   419.0
10.4000       -1702.909    -1724.116       21.207   402.1
10.6000       -1702.543    -1725.270       22.727   430.9
10.8000       -1703.974    -1724.971       20.997   398.1
11.0000       -1703.200    -1724.497       21.297   403.8
11.2000       -1702.285    -1723.534       21.249   402.9
11.4000       -1702.411    -1723.579       21.168   401.4
11.6000       -1702.645    -1724.070       21.425   406.3
11.8000       -1702.319    -1723.784       21.465   407.0
12.0000       -1702.606    -1723.885       21.278   403.5
12.2000       -1703.819    -1724.411       20.593   390.5
12.4000       -1701.629    -1723.177       21.548   408.6
12.6000       -1702.127    -1723.477       21.351   404.8
12.8000       -1702.751    -1724.064       21.313   404.1
13.0000       -1703.570    -1724.977       21.407   405.9
13.2000       -1701.769    -1723.459       21.690   411.3
13.4000       -1700.878    -1722.617       21.738   412.2
13.6000       -1701.269    -1722.928       21.660   410.7
13.8000       -1700.834    -1722.760       21.926   415.7
14.0000       -1702.195    -1722.810       20.615   390.9
