Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -6772.69     -6772.69         0.00     0.0
0.0500         -6769.36     -6774.27         4.92    37.2
0.1000         -6765.82     -6771.78         5.97    45.1
0.1500         -6763.42     -6767.33         3.91    29.6
0.2000         -6759.15     -6769.44        10.28    77.8
0.2500         -6756.82     -6768.48        11.66    88.2
0.3000         -6754.65     -6763.68         9.03    68.3
0.3500         -6748.56     -6761.50        12.94    97.9
0.4000         -6747.00     -6767.72        20.72   156.7
0.4500         -6748.13     -6755.15         7.02    53.1
0.5000         -6741.41     -6759.91        18.50   139.9
0.5500         -6740.26     -6760.72        20.46   154.7
0.6000         -6740.69     -6756.83        16.14   122.1
0.6500         -6736.30     -6753.51        17.21   130.2
0.7000         -6736.11     -6757.44        21.33   161.3
0.7500         -6732.61     -6757.36        24.75   187.2
0.8000         -6727.56     -6747.03        19.47   147.3
0.8500         -6728.96     -6752.81        23.85   180.4
0.9000         -6728.81     -6751.67        22.86   172.9
0.9500         -6724.38     -6752.09        27.71   209.6
1.0000         -6723.76     -6748.01        24.25   183.4
1.0500         -6721.80     -6751.39        29.59   223.8
1.1000         -6720.68     -6745.06        24.38   184.4
1.1500         -6720.45     -6747.81        27.36   206.9
1.2000         -6716.14     -6747.34        31.21   236.0
1.2500         -6714.84     -6741.77        26.94   203.7
1.3000         -6716.46     -6747.23        30.76   232.6
1.3500         -6714.90     -6743.44        28.53   215.8
1.4000         -6713.18     -6745.84        32.66   247.0
1.4500         -6711.61     -6742.09        30.48   230.5
1.5000         -6710.69     -6744.98        34.29   259.3
1.5500         -6711.64     -6740.16        28.52   215.7
1.6000         -6709.73     -6744.63        34.91   264.0
1.6500         -6707.62     -6740.57        32.95   249.2
1.7000         -6707.28     -6741.99        34.71   262.5
1.7500         -6707.27     -6740.22        32.94   249.1
1.8000         -6707.01     -6739.12        32.12   242.9
1.8500         -6704.84     -6741.41        36.57   276.6
1.9000         -6703.67     -6738.54        34.87   263.7
1.9500         -6704.36     -6739.28        34.93   264.1
2.0000         -6703.77     -6738.25        34.47   260.7
2.0500         -6702.69     -6739.82        37.13   280.8
2.1000         -6701.52     -6737.40        35.88   271.4
2.1500         -6701.42     -6738.96        37.54   283.9
2.2000         -6702.12     -6736.01        33.89   256.3
2.2500         -6700.56     -6736.91        36.35   274.9
2.3000         -6700.01     -6737.58        37.57   284.1
2.3500         -6699.81     -6737.06        37.25   281.7
2.4000         -6699.80     -6736.94        37.14   280.9
2.4500         -6699.61     -6737.38        37.77   285.6
2.5000         -6697.99     -6737.59        39.60   299.5
2.5500         -6697.82     -6736.57        38.75   293.0
2.6000         -6697.99     -6736.40        38.41   290.5
2.6500         -6697.63     -6735.64        38.01   287.4
2.7000         -6696.99     -6736.35        39.35   297.6
2.7500         -6696.17     -6734.25        38.08   288.0
2.8000         -6696.43     -6736.05        39.63   299.7
2.8500         -6696.31     -6733.75        37.45   283.2
2.9000         -6695.53     -6733.80        38.27   289.4
2.9500         -6695.49     -6737.01        41.52   314.0
3.0000         -6695.06     -6735.14        40.08   303.1
3.0500         -6694.70     -6734.01        39.30   297.2
3.1000         -6694.94     -6733.57        38.64   292.2
3.1500         -6694.30     -6736.25        41.94   317.2
3.2000         -6693.88     -6734.69        40.81   308.6
3.2500         -6693.72     -6733.62        39.91   301.8
3.3000         -6693.63     -6734.12        40.49   306.2
3.3500         -6693.62     -6733.26        39.65   299.8
3.4000         -6692.98     -6734.95        41.97   317.4
3.4500         -6692.53     -6734.18        41.65   315.0
3.5000         -6693.19     -6733.12        39.93   302.0
3.5500         -6692.79     -6734.18        41.39   313.0
3.6000         -6692.45     -6735.97        43.52   329.1
3.6500         -6691.94     -6732.13        40.19   303.9
3.7000         -6691.89     -6732.91        41.02   310.2
3.7500         -6692.09     -6731.82        39.73   300.5
3.8000         -6691.63     -6731.40        39.77   300.7
3.8500         -6691.22     -6734.82        43.60   329.7
3.9000         -6691.57     -6733.04        41.47   313.6
3.9500         -6691.40     -6731.48        40.08   303.1
4.0000         -6691.09     -6733.71        42.62   322.3
4.0500         -6691.09     -6733.12        42.03   317.8
4.1000         -6690.78     -6733.59        42.81   323.7
4.1500         -6690.71     -6732.30        41.59   314.5
4.2000         -6690.77     -6731.34        40.57   306.8
4.2500         -6690.75     -6733.36        42.61   322.2
4.3000         -6690.71     -6732.62        41.91   316.9
4.3500         -6690.45     -6733.14        42.68   322.8
4.4000         -6690.77     -6733.34        42.57   322.0
4.4500         -6690.44     -6734.02        43.59   329.6
4.5000         -6690.60     -6733.20        42.60   322.2
4.5500         -6690.58     -6732.56        41.98   317.5
4.6000         -6690.47     -6732.27        41.81   316.2
4.6500         -6690.31     -6732.94        42.63   322.4
4.7000         -6690.00     -6732.61        42.61   322.2
4.7500         -6690.01     -6733.33        43.33   327.7
4.8000         -6690.42     -6732.53        42.11   318.5
4.8500         -6690.15     -6732.93        42.79   323.6
4.9000         -6689.98     -6732.43        42.45   321.1
4.9500         -6690.05     -6733.02        42.97   325.0
5.0000         -6689.89     -6731.40        41.51   313.9
5.0500         -6690.21     -6732.29        42.08   318.3
5.1000         -6690.05     -6732.87        42.81   323.8
5.1500         -6690.03     -6733.05        43.02   325.4
5.2000         -6690.06     -6732.16        42.10   318.4
5.2500         -6689.39     -6732.01        42.62   322.3
5.3000         -6689.79     -6733.21        43.41   328.3
5.3500         -6689.99     -6733.63        43.64   330.0
5.4000         -6689.59     -6732.94        43.35   327.8
5.4500         -6689.40     -6729.71        40.31   304.8
5.5000         -6689.16     -6731.34        42.19   319.0
5.5500         -6689.29     -6731.71        42.43   320.8
5.6000         -6689.43     -6733.73        44.30   335.0
5.6500         -6688.97     -6731.64        42.67   322.7
5.7000         -6688.93     -6730.70        41.77   315.8
5.7500         -6688.96     -6733.13        44.18   334.1
5.8000         -6689.01     -6732.45        43.45   328.6
5.8500         -6689.05     -6731.01        41.96   317.3
5.9000         -6688.76     -6730.22        41.47   313.6
5.9500         -6689.06     -6730.99        41.93   317.1
6.0000         -6688.55     -6732.22        43.67   330.2
6.0500         -6688.49     -6732.27        43.77   331.0
6.1000         -6688.60     -6731.94        43.35   327.8
6.1500         -6688.25     -6733.23        44.98   340.2
6.2000         -6688.91     -6733.64        44.73   338.2
6.2500         -6688.64     -6731.93        43.29   327.4
6.3000         -6688.22     -6732.59        44.37   335.5
6.3500         -6688.83     -6730.67        41.84   316.4
6.4000         -6688.71     -6732.07        43.35   327.9
6.4500         -6688.32     -6731.93        43.61   329.8
6.5000         -6688.25     -6731.05        42.80   323.7
6.5500         -6688.00     -6730.92        42.92   324.5
6.6000         -6688.43     -6731.00        42.58   322.0
6.6500         -6688.43     -6730.61        42.18   319.0
6.7000         -6687.70     -6730.75        43.05   325.6
6.7500         -6687.83     -6731.69        43.86   331.7
6.8000         -6688.30     -6731.56        43.26   327.2
6.8500         -6688.30     -6733.15        44.84   339.1
6.9000         -6688.10     -6732.09        43.99   332.6
6.9500         -6687.52     -6730.90        43.38   328.0
7.0000         -6687.96     -6731.35        43.39   328.1
7.0500         -6687.78     -6731.21        43.43   328.5
7.1000         -6687.83     -6730.95        43.12   326.1
7.1500         -6687.56     -6731.13        43.57   329.5
7.2000         -6687.82     -6731.45        43.63   329.9
7.2500         -6687.89     -6731.63        43.74   330.8
7.3000         -6687.62     -6730.71        43.09   325.9
7.3500         -6687.89     -6731.01        43.12   326.1
7.4000         -6687.69     -6730.99        43.31   327.5
7.4500         -6687.71     -6730.64        42.93   324.6
7.5000         -6688.03     -6732.35        44.32   335.1
7.5500         -6687.42     -6730.35        42.93   324.6
7.6000         -6687.53     -6729.41        41.87   316.7
7.6500         -6687.99     -6732.19        44.20   334.2
7.7000         -6687.51     -6730.58        43.07   325.7
7.7500         -6687.54     -6731.00        43.46   328.7
7.8000         -6687.39     -6730.74        43.36   327.9
7.8500         -6687.59     -6731.27        43.68   330.3
7.9000         -6687.73     -6731.59        43.86   331.7
7.9500         -6687.74     -6730.45        42.71   323.0
8.0000         -6687.27     -6729.11        41.83   316.4
8.0500         -6687.71     -6730.28        42.57   321.9
8.1000         -6687.65     -6731.14        43.49   328.9
8.1500         -6687.50     -6730.34        42.84   324.0
8.2000         -6687.54     -6730.70        43.16   326.4
8.2500         -6687.03     -6730.45        43.43   328.4
8.3000         -6687.69     -6731.42        43.73   330.7
8.3500         -6687.17     -6731.24        44.07   333.3
8.4000         -6687.26     -6730.74        43.48   328.8
8.4500         -6687.49     -6730.99        43.50   329.0
8.5000         -6687.74     -6731.00        43.25   327.1
8.5500         -6687.78     -6730.93        43.15   326.3
8.6000         -6687.67     -6731.18        43.51   329.1
8.6500         -6687.56     -6733.47        45.91   347.2
8.7000         -6687.58     -6731.12        43.54   329.3
8.7500         -6687.47     -6731.05        43.58   329.5
8.8000         -6687.20     -6731.10        43.90   332.0
8.8500         -6687.29     -6730.90        43.61   329.8
8.9000         -6687.63     -6731.46        43.84   331.5
8.9500         -6687.82     -6732.43        44.62   337.4
9.0000         -6687.22     -6730.79        43.57   329.5
9.0500         -6687.37     -6731.83        44.46   336.3
9.1000         -6687.79     -6730.85        43.06   325.6
9.1500         -6687.50     -6730.72        43.22   326.8
9.2000         -6687.40     -6730.73        43.32   327.6
9.2500         -6687.05     -6730.74        43.69   330.4
