Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -7122.34     -7122.34         0.00     0.0
0.0500         -7107.10     -7118.15        11.05    83.5
0.1000         -7093.18     -7110.57        17.39   131.5
0.1500         -7083.61     -7109.91        26.30   198.9
0.2000         -7075.48     -7096.30        20.82   157.5
0.2500         -7068.66     -7096.65        27.99   211.7
0.3000         -7063.36     -7086.33        22.98   173.8
0.3500         -7059.50     -7099.19        39.69   300.2
0.4000         -7057.43     -7100.37        42.94   324.7
0.4500         -7054.06     -7091.74        37.67   284.9
0.5000         -7053.32     -7087.24        33.92   256.5
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -6765.76     -6765.76         0.00     0.0
0.5500         -7051.51     -7084.34        32.83   248.3
0.6000         -7050.01     -7090.63        40.63   307.2
0.6500         -7049.15     -7088.82        39.68   300.1
0.7000         -7048.83     -7087.26        38.43   290.6
0.7500         -7048.43     -7091.81        43.39   328.1
0.8000         -7047.50     -7077.38        29.88   226.0
0.8500         -7047.42     -7087.40        39.98   302.4
0.9000         -7046.94     -7083.48        36.54   276.3
0.9500         -7046.72     -7083.58        36.86   278.7
1.0000         -7047.07     -7090.02        42.96   324.8
1.0500         -7046.55     -7082.02        35.47   268.3
1.1000         -7046.77     -7088.07        41.30   312.3
1.1500         -7046.75     -7082.03        35.29   266.8
1.2000         -7046.38     -7088.46        42.07   318.2
1.2500         -7046.44     -7084.94        38.49   291.1
1.3000         -7046.55     -7082.14        35.59   269.1
1.3500         -7046.60     -7089.69        43.09   325.8
1.4000         -7046.21     -7086.38        40.17   303.8
1.4500         -7046.65     -7084.59        37.93   286.9
1.5000         -7046.53     -7086.93        40.40   305.5
1.5500         -7046.32     -7086.52        40.20   304.0
1.6000         -7046.56     -7085.78        39.22   296.6
1.6500         -7046.64     -7084.85        38.21   289.0
1.7000         -7046.44     -7088.61        42.17   318.9
1.7500         -7046.57     -7084.73        38.16   288.6
1.8000         -7046.74     -7083.90        37.16   281.0
1.8500         -7046.39     -7088.75        42.36   320.3
1.9000         -7046.57     -7084.02        37.45   283.2
1.9500         -7046.39     -7086.69        40.29   304.7
2.0000         -7046.50     -7088.03        41.54   314.1
2.0500         -7046.26     -7083.18        36.92   279.2
2.1000         -7046.64     -7087.78        41.15   311.2
2.1500         -7046.49     -7085.72        39.23   296.7
2.2000         -7046.33     -7085.48        39.16   296.1
2.2500         -7046.52     -7085.21        38.69   292.6
2.3000         -7046.56     -7084.29        37.73   285.3
2.3500         -7046.34     -7085.58        39.24   296.8
2.4000         -7046.59     -7083.04        36.45   275.7
2.4500         -7046.69     -7088.18        41.50   313.8
2.5000         -7046.32     -7086.11        39.79   300.9
2.5500         -7046.39     -7084.83        38.44   290.7
2.6000         -7046.56     -7088.32        41.76   315.8
2.6500         -7046.46     -7085.46        39.01   295.0
2.7000         -7046.43     -7088.17        41.75   315.7
2.7500         -7046.68     -7086.03        39.36   297.6
2.8000         -7046.25     -7086.91        40.67   307.5
2.8500         -7046.40     -7087.11        40.71   307.8
2.9000         -7046.52     -7085.03        38.51   291.2
2.9500         -7046.30     -7086.32        40.02   302.7
3.0000         -7046.05     -7084.26        38.22   289.0
3.0500         -7046.62     -7085.19        38.58   291.7
3.1000         -7046.35     -7088.28        41.93   317.1
3.1500         -7046.28     -7085.19        38.91   294.3
3.2000         -7046.56     -7086.76        40.20   304.0
3.2500         -7046.58     -7087.56        40.98   309.9
3.3000         -7046.14     -7084.98        38.84   293.8
3.3500         -7046.34     -7085.88        39.54   299.0
3.4000         -7046.48     -7085.39        38.91   294.3
3.4500         -7046.35     -7086.37        40.02   302.6
3.5000         -7046.58     -7086.10        39.51   298.8
3.5500         -7046.49     -7087.06        40.57   306.8
3.6000         -7046.51     -7088.80        42.29   319.8
3.6500         -7046.48     -7087.29        40.80   308.6
3.7000         -7046.33     -7086.13        39.80   301.0
3.7500         -7046.47     -7087.27        40.79   308.5
3.8000         -7046.23     -7086.65        40.42   305.7
3.8500         -7046.61     -7087.09        40.48   306.1
3.9000         -7046.53     -7087.80        41.27   312.1
3.9500         -7046.39     -7084.42        38.03   287.6
4.0000         -7046.46     -7086.78        40.32   304.9
4.0500         -7046.48     -7087.85        41.37   312.9
4.1000         -7046.39     -7083.48        37.08   280.4
4.1500         -7046.38     -7086.28        39.90   301.7
4.2000         -7046.49     -7087.66        41.17   311.3
4.2500         -7046.37     -7085.85        39.48   298.5
4.3000         -7046.27     -7085.64        39.38   297.8
4.3500         -7046.58     -7086.45        39.87   301.5
4.4000         -7046.32     -7086.13        39.81   301.1
4.4500         -7046.38     -7085.64        39.26   296.9
4.5000         -7046.56     -7084.86        38.30   289.6
4.5500         -7046.46     -7084.59        38.13   288.4
4.6000         -7046.27     -7085.10        38.83   293.6
4.6500         -7046.50     -7086.06        39.55   299.1
4.7000         -7046.47     -7085.34        38.87   293.9
4.7500         -7046.39     -7085.12        38.73   292.9
4.8000         -7046.37     -7087.27        40.91   309.4
4.8500         -7046.66     -7086.11        39.44   298.3
4.9000         -7046.22     -7086.00        39.77   300.8
4.9500         -7046.61     -7086.27        39.66   299.9
5.0000         -7046.59     -7084.67        38.08   288.0
5.0500         -7046.09     -7086.11        40.02   302.6
5.1000         -7046.42     -7085.76        39.35   297.5
5.1500         -7046.30     -7084.02        37.73   285.3
5.2000         -7046.43     -7088.02        41.58   314.5
5.2500         -7046.37     -7085.02        38.65   292.3
5.3000         -7046.40     -7084.79        38.38   290.3
5.3500         -7046.15     -7087.61        41.45   313.5
5.4000         -7046.49     -7085.44        38.96   294.6
5.4500         -7046.22     -7085.22        39.00   294.9
5.5000         -7046.57     -7086.03        39.46   298.4
5.5500         -7046.57     -7086.48        39.90   301.8
5.6000         -7046.49     -7086.36        39.87   301.5
5.6500         -7046.37     -7087.22        40.85   308.9
5.7000         -7046.30     -7082.76        36.47   275.8
5.7500         -7046.37     -7084.40        38.04   287.7
5.8000         -7046.49     -7085.17        38.68   292.5
5.8500         -7046.38     -7085.59        39.21   296.5
5.9000         -7046.43     -7085.61        39.18   296.3
5.9500         -7046.43     -7086.57        40.14   303.5
6.0000         -7046.38     -7084.72        38.33   289.9
6.0500         -7046.43     -7085.53        39.10   295.7
6.1000         -7046.28     -7085.39        39.11   295.8
6.1500         -7046.47     -7084.61        38.14   288.4
6.2000         -7046.29     -7084.43        38.14   288.4
6.2500         -7046.66     -7085.22        38.56   291.6
6.3000         -7046.44     -7086.22        39.79   300.9
6.3500         -7046.43     -7085.18        38.75   293.0
6.4000         -7046.74     -7084.85        38.12   288.3
6.4500         -7046.34     -7086.87        40.53   306.5
6.5000         -7046.43     -7085.75        39.32   297.4
6.5500         -7046.48     -7085.16        38.68   292.5
6.6000         -7046.31     -7085.06        38.75   293.0
6.6500         -7046.38     -7085.90        39.52   298.8
6.7000         -7046.49     -7085.04        38.55   291.5
6.7500         -7046.28     -7086.13        39.85   301.3
6.8000         -7046.46     -7085.39        38.92   294.3
6.8500         -7046.51     -7085.16        38.65   292.3
6.9000         -7046.49     -7087.95        41.46   313.5
6.9500         -7046.45     -7085.95        39.51   298.8
7.0000         -7046.45     -7085.81        39.36   297.7
7.0500         -7046.32     -7085.28        38.96   294.6
7.1000         -7046.52     -7086.80        40.28   304.6
7.1500         -7046.33     -7085.42        39.09   295.6
7.2000         -7046.42     -7085.13        38.71   292.7
7.2500         -7046.40     -7086.15        39.75   300.6
7.3000         -7046.36     -7085.48        39.11   295.8
7.3500         -7046.40     -7085.41        39.01   295.0
7.4000         -7046.51     -7085.74        39.23   296.7
7.4500         -7046.55     -7085.73        39.18   296.3
