Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -7122.34     -7122.34         0.00     0.0
0.1000         -7089.25     -7108.68        19.43   146.9
0.2000         -7069.64     -7096.62        26.98   204.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.3000         -7056.82     -7081.71        24.90   188.3
0.4000         -7049.31     -7098.98        49.67   375.6
0.5000         -7045.72     -7093.13        47.42   358.6
0.6000         -7042.22     -7083.56        41.34   312.6
0.7000         -7041.23     -7084.26        43.02   325.4
0.8000         -7039.23     -7081.73        42.51   321.5
0.9000         -7038.74     -7082.28        43.54   329.3
1.0000         -7038.39     -7081.20        42.81   323.8
1.1000         -7037.79     -7084.48        46.69   353.1
1.2000         -7037.33     -7084.46        47.13   356.4
1.3000         -7037.56     -7084.01        46.45   351.3
1.4000         -7037.05     -7084.42        47.36   358.2
1.5000         -7037.10     -7083.19        46.09   348.6
1.6000         -7037.33     -7082.06        44.73   338.2
1.7000         -7036.93     -7084.15        47.21   357.0
1.8000         -7037.03     -7083.02        46.00   347.8
1.9000         -7037.03     -7082.70        45.67   345.4
