Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -6786.96     -6786.96         0.00     0.0
0.0500         -6770.17     -6782.88        12.71    96.1
0.1000         -6755.04     -6775.18        20.13   152.3
0.1500         -6744.16     -6769.15        24.99   189.0
0.2000         -6734.60     -6748.20        13.60   102.9
0.2500         -6727.42     -6762.68        35.26   266.6
0.3000         -6721.73     -6756.38        34.65   262.0
0.3500         -6717.79     -6755.90        38.11   288.2
0.4000         -6714.82     -6746.52        31.70   239.8
0.4500         -6711.42     -6756.60        45.18   341.6
0.5000         -6709.34     -6740.41        31.07   235.0
0.5500         -6708.61     -6752.88        44.27   334.8
0.6000         -6706.32     -6746.23        39.92   301.9
0.6500         -6705.47     -6748.75        43.27   327.3
0.7000         -6704.79     -6742.40        37.61   284.4
0.7500         -6704.92     -6750.62        45.70   345.6
0.8000         -6703.94     -6746.29        42.35   320.2
0.8500         -6703.92     -6744.92        41.01   310.1
0.9000         -6703.85     -6746.62        42.78   323.5
0.9500         -6703.55     -6750.79        47.24   357.3
1.0000         -6703.37     -6742.84        39.47   298.5
1.0500         -6703.43     -6746.31        42.88   324.3
1.1000         -6703.21     -6747.61        44.40   335.8
1.1500         -6702.98     -6745.98        43.01   325.2
1.2000         -6702.97     -6744.44        41.47   313.6
1.2500         -6703.16     -6747.51        44.35   335.4
1.3000         -6702.64     -6748.36        45.72   345.7
1.3500         -6702.95     -6745.18        42.22   319.3
1.4000         -6703.10     -6746.86        43.77   331.0
1.4500         -6702.82     -6747.02        44.20   334.3
1.5000         -6702.68     -6744.33        41.64   314.9
1.5500         -6702.98     -6746.82        43.84   331.5
1.6000         -6702.86     -6745.39        42.54   321.7
1.6500         -6702.83     -6748.16        45.33   342.8
1.7000         -6702.99     -6742.31        39.32   297.4
1.7500         -6703.10     -6745.71        42.61   322.3
1.8000         -6702.73     -6747.97        45.24   342.1
1.8500         -6702.63     -6745.24        42.61   322.2
1.9000         -6702.80     -6745.58        42.78   323.5
1.9500         -6702.73     -6748.03        45.31   342.6
2.0000         -6702.63     -6745.85        43.22   326.9
2.0500         -6702.91     -6745.88        42.97   324.9
2.1000         -6703.00     -6745.06        42.06   318.1
2.1500         -6702.94     -6745.48        42.54   321.7
2.2000         -6702.71     -6746.03        43.32   327.6
2.2500         -6703.07     -6744.40        41.32   312.5
2.3000         -6702.79     -6746.67        43.88   331.9
2.3500         -6702.78     -6745.28        42.51   321.5
2.4000         -6703.14     -6745.86        42.72   323.1
2.4500         -6702.92     -6746.19        43.27   327.3
2.5000         -6702.86     -6744.20        41.34   312.6
2.5500         -6703.05     -6746.12        43.07   325.7
2.6000         -6702.95     -6745.31        42.36   320.3
2.6500         -6702.82     -6746.55        43.74   330.8
2.7000         -6702.88     -6746.01        43.13   326.2
2.7500         -6702.87     -6746.22        43.35   327.8
2.8000         -6703.01     -6746.70        43.69   330.4
2.8500         -6702.60     -6746.00        43.40   328.2
2.9000         -6703.00     -6744.35        41.35   312.7
2.9500         -6702.91     -6746.42        43.52   329.1
3.0000         -6702.77     -6743.92        41.15   311.2
3.0500         -6702.99     -6746.23        43.24   327.0
3.1000         -6703.22     -6745.88        42.66   322.6
3.1500         -6702.69     -6747.98        45.29   342.5
3.2000         -6702.92     -6745.33        42.41   320.7
3.2500         -6703.01     -6744.86        41.85   316.5
3.3000         -6702.83     -6746.56        43.72   330.7
3.3500         -6702.83     -6745.56        42.73   323.2
3.4000         -6702.94     -6745.88        42.94   324.7
3.4500         -6702.76     -6747.81        45.05   340.7
3.5000         -6702.78     -6748.78        46.00   347.9
3.5500         -6702.88     -6743.91        41.02   310.2
3.6000         -6702.95     -6747.01        44.07   333.3
3.6500         -6702.90     -6747.75        44.85   339.2
3.7000         -6702.87     -6744.58        41.71   315.4
3.7500         -6703.11     -6747.73        44.62   337.4
