Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1087.935    -1087.935        0.000     0.0
0.1000        -1080.214    -1084.917        4.704   259.9
0.2000        -1074.931    -1081.766        6.835   377.7
0.3000        -1072.219    -1082.002        9.783   540.6
0.4000        -1069.968    -1078.360        8.392   463.7
0.5000        -1068.894    -1077.869        8.976   496.0
0.6000        -1068.269    -1078.506       10.237   565.7
0.7000        -1068.040    -1079.094       11.054   610.9
0.8000        -1067.924    -1076.696        8.772   484.7
0.9000        -1067.618    -1077.178        9.560   528.3
1.0000        -1067.219    -1076.605        9.386   518.7
1.1000        -1067.454    -1077.981       10.528   581.8
1.2000        -1067.317    -1077.575       10.258   566.9
1.3000        -1067.488    -1079.077       11.589   640.4
1.4000        -1067.138    -1077.398       10.260   567.0
1.5000        -1067.206    -1077.934       10.728   592.8
1.6000        -1067.310    -1077.785       10.476   578.9
1.7000        -1067.612    -1077.934       10.322   570.4
1.8000        -1067.586    -1078.098       10.512   580.9
1.9000        -1067.215    -1078.322       11.107   613.8
2.0000        -1067.159    -1078.871       11.712   647.2
2.1000        -1067.566    -1078.420       10.854   599.8
2.2000        -1067.689    -1078.225       10.536   582.2
2.3000        -1067.316    -1078.042       10.726   592.7
2.4000        -1067.455    -1077.433        9.977   551.3
2.5000        -1067.182    -1077.571       10.388   574.1
2.6000        -1067.351    -1078.943       11.592   640.6
2.7000        -1067.298    -1077.947       10.648   588.4
2.8000        -1067.362    -1078.509       11.147   616.0
2.9000        -1067.496    -1078.864       11.367   628.2
3.0000        -1067.360    -1078.334       10.974   606.4
3.1000        -1067.397    -1078.583       11.186   618.2
3.2000        -1067.611    -1078.824       11.213   619.6
3.3000        -1067.431    -1078.310       10.879   601.2
3.4000        -1067.584    -1078.347       10.764   594.8
3.5000        -1067.523    -1078.342       10.819   597.9
3.6000        -1067.437    -1078.679       11.242   621.2
3.7000        -1067.447    -1078.325       10.878   601.1
3.8000        -1067.361    -1078.660       11.298   624.3
3.9000        -1067.245    -1077.948       10.703   591.4
4.0000        -1067.474    -1078.697       11.223   620.2
4.1000        -1067.454    -1078.667       11.213   619.6
4.2000        -1067.262    -1078.004       10.741   593.6
4.3000        -1067.416    -1077.309        9.893   546.7
4.4000        -1067.311    -1078.596       11.285   623.6
4.5000        -1067.421    -1078.360       10.939   604.5
4.6000        -1067.608    -1077.271        9.664   534.0
4.7000        -1067.409    -1077.973       10.564   583.8
4.8000        -1067.557    -1078.801       11.244   621.3
4.9000        -1067.330    -1078.236       10.906   602.7
5.0000        -1067.357    -1077.649       10.291   568.7
5.1000        -1067.458    -1078.431       10.973   606.4
5.2000        -1067.311    -1078.345       11.034   609.7
5.3000        -1067.441    -1077.964       10.523   581.5
5.4000        -1067.411    -1078.158       10.747   593.9
5.5000        -1067.395    -1078.347       10.952   605.2
5.6000        -1067.511    -1079.060       11.549   638.2
5.7000        -1067.275    -1077.931       10.655   588.8
5.8000        -1067.358    -1078.045       10.687   590.6
5.9000        -1067.496    -1078.587       11.091   612.9
6.0000        -1067.219    -1078.096       10.876   601.0
6.1000        -1067.065    -1077.970       10.905   602.6
6.2000        -1067.277    -1078.534       11.257   622.0
6.3000        -1067.485    -1078.185       10.700   591.3
6.4000        -1067.313    -1078.610       11.297   624.3
6.5000        -1067.379    -1077.836       10.458   577.9
6.6000        -1067.346    -1078.477       11.131   615.1
6.7000        -1067.433    -1078.269       10.836   598.8
6.8000        -1067.392    -1078.046       10.654   588.7
6.9000        -1067.272    -1078.253       10.981   606.8
7.0000        -1067.474    -1078.277       10.803   596.9
7.1000        -1067.402    -1078.611       11.209   619.4
7.2000        -1067.639    -1078.939       11.300   624.5
7.3000        -1067.414    -1078.372       10.958   605.5
7.4000        -1067.370    -1078.605       11.235   620.8
7.5000        -1067.521    -1078.096       10.575   584.4
7.6000        -1067.483    -1078.583       11.099   613.3
7.7000        -1067.413    -1077.472       10.058   555.8
7.8000        -1067.384    -1077.998       10.614   586.5
7.9000        -1067.381    -1077.217        9.836   543.5
8.0000        -1067.380    -1077.989       10.610   586.3
8.1000        -1067.373    -1078.032       10.658   589.0
8.2000        -1067.307    -1077.903       10.597   585.6
8.3000        -1067.545    -1078.693       11.147   616.0
8.4000        -1067.597    -1078.151       10.554   583.2
8.5000        -1067.402    -1076.988        9.586   529.7
8.6000        -1067.417    -1078.685       11.268   622.6
8.7000        -1067.127    -1078.651       11.524   636.8
8.8000        -1067.322    -1077.577       10.254   566.7
8.9000        -1067.329    -1078.132       10.802   596.9
9.0000        -1067.435    -1078.543       11.109   613.9
9.1000        -1067.565    -1078.333       10.768   595.0
9.2000        -1067.388    -1077.940       10.551   583.1
9.3000        -1067.396    -1078.097       10.701   591.4
9.4000        -1067.349    -1078.244       10.895   602.0
9.5000        -1067.429    -1078.892       11.463   633.4
9.6000        -1067.140    -1078.802       11.662   644.4
9.7000        -1067.414    -1078.731       11.317   625.4
