Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1087.935    -1087.935        0.000     0.0
0.1000        -1084.193    -1086.465        2.272   125.5
0.2000        -1081.685    -1085.479        3.793   209.6
0.3000        -1080.362    -1085.059        4.697   259.5
0.4000        -1079.244    -1083.707        4.463   246.6
0.5000        -1078.915    -1083.426        4.511   249.3
0.6000        -1078.534    -1082.987        4.453   246.0
0.7000        -1078.566    -1084.333        5.767   318.7
0.8000        -1078.174    -1084.169        5.996   331.3
0.9000        -1078.208    -1082.990        4.781   264.2
1.0000        -1078.210    -1083.985        5.775   319.1
1.1000        -1078.259    -1083.793        5.535   305.9
1.2000        -1078.211    -1083.622        5.411   299.0
1.3000        -1078.138    -1083.992        5.855   323.5
1.4000        -1078.050    -1083.766        5.716   315.9
1.5000        -1077.898    -1082.830        4.932   272.6
1.6000        -1077.677    -1083.436        5.758   318.2
1.7000        -1077.840    -1084.364        6.523   360.5
1.8000        -1077.629    -1083.602        5.973   330.1
1.9000        -1077.578    -1083.067        5.489   303.3
2.0000        -1077.779    -1083.004        5.225   288.7
2.1000        -1077.915    -1083.226        5.311   293.5
2.2000        -1077.898    -1083.714        5.816   321.4
2.3000        -1078.135    -1083.260        5.125   283.2
2.4000        -1078.147    -1083.091        4.944   273.2
2.5000        -1077.963    -1083.338        5.376   297.1
2.6000        -1078.169    -1084.146        5.976   330.2
2.7000        -1078.232    -1083.850        5.618   310.5
2.8000        -1077.946    -1083.021        5.074   280.4
2.9000        -1078.035    -1083.125        5.090   281.2
3.0000        -1078.027    -1083.764        5.737   317.0
3.1000        -1078.083    -1083.673        5.590   308.9
3.2000        -1078.100    -1083.541        5.441   300.7
3.3000        -1078.068    -1083.187        5.118   282.8
3.4000        -1078.128    -1083.835        5.707   315.4
3.5000        -1078.093    -1083.148        5.055   279.4
3.6000        -1078.081    -1083.113        5.031   278.0
3.7000        -1078.093    -1083.384        5.291   292.4
3.8000        -1078.153    -1083.523        5.369   296.7
3.9000        -1078.144    -1083.731        5.587   308.7
4.0000        -1077.990    -1083.609        5.618   310.5
4.1000        -1078.179    -1083.361        5.181   286.3
4.2000        -1078.087    -1083.158        5.071   280.2
4.3000        -1077.983    -1082.858        4.875   269.4
4.4000        -1077.992    -1083.462        5.471   302.3
4.5000        -1078.076    -1083.707        5.631   311.2
4.6000        -1078.072    -1083.679        5.607   309.9
4.7000        -1078.035    -1083.766        5.731   316.7
4.8000        -1078.140    -1083.185        5.045   278.8
4.9000        -1078.105    -1083.267        5.162   285.2
5.0000        -1078.112    -1083.076        4.964   274.3
5.1000        -1077.913    -1082.941        5.028   277.8
5.2000        -1078.063    -1083.637        5.574   308.0
5.3000        -1078.170    -1083.167        4.997   276.1
5.4000        -1078.152    -1083.794        5.642   311.8
5.5000        -1078.081    -1083.279        5.198   287.2
5.6000        -1078.115    -1083.725        5.610   310.0
5.7000        -1078.122    -1083.810        5.688   314.3
5.8000        -1078.075    -1083.445        5.370   296.8
5.9000        -1078.017    -1083.172        5.154   284.8
6.0000        -1078.115    -1083.267        5.152   284.7
6.1000        -1078.128    -1083.759        5.631   311.2
6.2000        -1078.164    -1083.349        5.185   286.5
6.3000        -1078.138    -1083.545        5.407   298.8
6.4000        -1078.105    -1083.644        5.539   306.1
6.5000        -1078.048    -1083.643        5.595   309.2
6.6000        -1078.073    -1083.535        5.462   301.8
6.7000        -1078.077    -1083.712        5.635   311.4
6.8000        -1078.044    -1083.442        5.398   298.3
6.9000        -1078.085    -1083.509        5.423   299.7
7.0000        -1078.136    -1084.268        6.132   338.9
7.1000        -1078.126    -1083.323        5.197   287.2
7.2000        -1078.097    -1083.586        5.489   303.3
7.3000        -1078.042    -1083.500        5.458   301.6
7.4000        -1078.187    -1083.727        5.540   306.1
7.5000        -1078.026    -1083.070        5.044   278.7
7.6000        -1078.153    -1083.432        5.280   291.7
7.7000        -1078.143    -1083.719        5.577   308.2
7.8000        -1078.291    -1083.881        5.590   308.9
7.9000        -1078.172    -1083.374        5.203   287.5
8.0000        -1078.098    -1083.394        5.297   292.7
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1087.935    -1087.935        0.000     0.0
0.1000        -1080.214    -1084.917        4.704   259.9
0.2000        -1074.931    -1081.766        6.835   377.7
0.3000        -1072.219    -1082.002        9.783   540.6
0.4000        -1069.968    -1078.360        8.392   463.7
0.5000        -1068.894    -1077.869        8.975   496.0
0.6000        -1068.270    -1078.507       10.238   565.7
0.7000        -1068.041    -1079.098       11.057   611.0
0.8000        -1067.923    -1076.696        8.773   484.8
0.9000        -1067.617    -1077.143        9.526   526.4
1.0000        -1067.234    -1076.651        9.417   520.4
1.1000        -1067.446    -1077.926       10.480   579.1
1.2000        -1067.329    -1077.766       10.437   576.7
1.3000        -1067.532    -1079.296       11.764   650.1
1.4000        -1067.160    -1077.586       10.426   576.2
1.5000        -1067.217    -1078.806       11.589   640.4
1.6000        -1067.278    -1078.239       10.961   605.7
1.7000        -1067.450    -1078.015       10.565   583.8
1.8000        -1067.526    -1078.289       10.763   594.7
1.9000        -1067.455    -1078.181       10.727   592.7
2.0000        -1066.981    -1077.771       10.790   596.3
2.1000        -1067.066    -1078.866       11.800   652.0
2.2000        -1067.590    -1078.912       11.322   625.7
2.3000        -1067.510    -1078.632       11.122   614.6
2.4000        -1067.323    -1078.053       10.730   592.9
2.5000        -1067.555    -1078.039       10.484   579.3
2.6000        -1067.062    -1077.712       10.650   588.5
2.7000        -1067.392    -1078.085       10.693   590.9
2.8000        -1067.330    -1078.314       10.984   607.0
2.9000        -1067.277    -1078.422       11.144   615.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -1082.433    -1082.433        0.000     0.0
0.1000        -1074.804    -1079.504        4.700   261.6
0.2000        -1069.677    -1076.467        6.790   377.9
0.3000        -1066.723    -1074.776        8.053   448.2
0.4000        -1064.818    -1073.749        8.931   497.1
0.5000        -1063.528    -1073.387        9.859   548.7
0.6000        -1063.150    -1074.257       11.107   618.2
0.7000        -1062.809    -1074.128       11.319   630.0
0.8000        -1062.725    -1073.954       11.229   625.0
0.9000        -1062.700    -1073.980       11.279   627.8
1.0000        -1062.442    -1072.891       10.449   581.6
1.1000        -1062.593    -1073.275       10.682   594.5
1.2000        -1062.508    -1073.472       10.964   610.2
1.3000        -1062.360    -1073.029       10.668   593.8
1.4000        -1062.306    -1072.893       10.587   589.2
1.5000        -1061.914    -1072.079       10.164   565.7
1.6000        -1062.470    -1072.853       10.382   577.9
1.7000        -1062.232    -1071.733        9.502   528.8
1.8000        -1062.323    -1073.107       10.784   600.2
1.9000        -1062.231    -1073.063       10.832   602.9
2.0000        -1062.505    -1073.441       10.936   608.7
2.1000        -1062.250    -1072.909       10.659   593.3
2.2000        -1062.192    -1072.494       10.302   573.4
2.3000        -1062.293    -1072.715       10.422   580.0
2.4000        -1062.401    -1074.198       11.796   656.6
2.5000        -1062.375    -1072.737       10.362   576.7
2.6000        -1062.566    -1073.609       11.044   614.7
2.7000        -1062.475    -1073.700       11.224   624.7
2.8000        -1062.466    -1074.174       11.708   651.6
2.9000        -1062.342    -1073.019       10.677   594.3
3.0000        -1062.261    -1072.410       10.150   564.9
3.1000        -1062.503    -1072.637       10.135   564.1
3.2000        -1062.214    -1072.766       10.552   587.3
3.3000        -1062.351    -1073.429       11.078   616.6
3.4000        -1062.329    -1073.130       10.802   601.2
3.5000        -1062.683    -1073.718       11.035   614.2
3.6000        -1062.808    -1073.256       10.448   581.5
3.7000        -1062.841    -1074.000       11.159   621.1
3.8000        -1062.884    -1073.403       10.519   585.5
3.9000        -1062.688    -1073.754       11.065   615.9
4.0000        -1062.616    -1073.433       10.817   602.1
4.1000        -1062.487    -1072.714       10.227   569.2
4.2000        -1062.602    -1073.402       10.800   601.1
4.3000        -1062.593    -1072.779       10.185   566.9
4.4000        -1062.761    -1073.474       10.713   596.3
4.5000        -1062.408    -1072.635       10.228   569.3
4.6000        -1062.663    -1074.566       11.903   662.5
4.7000        -1062.631    -1073.539       10.908   607.1
4.8000        -1062.577    -1072.780       10.203   567.9
4.9000        -1062.747    -1073.319       10.571   588.4
5.0000        -1062.674    -1074.355       11.681   650.1
5.1000        -1062.646    -1073.631       10.985   611.4
5.2000        -1062.619    -1074.435       11.816   657.7
5.3000        -1062.833    -1073.062       10.230   569.3
5.4000        -1062.725    -1073.798       11.073   616.3
5.5000        -1062.587    -1074.274       11.686   650.4
5.6000        -1062.612    -1074.304       11.692   650.8
5.7000        -1062.701    -1074.287       11.587   644.9
5.8000        -1062.652    -1073.897       11.246   625.9
5.9000        -1062.573    -1073.078       10.505   584.7
6.0000        -1062.590    -1073.382       10.791   600.6
6.1000        -1062.766    -1073.896       11.130   619.5
6.2000        -1062.555    -1074.473       11.918   663.3
6.3000        -1062.824    -1073.720       10.896   606.4
6.4000        -1062.644    -1072.495        9.850   548.2
6.5000        -1062.864    -1073.554       10.690   595.0
6.6000        -1062.826    -1073.397       10.571   588.3
6.7000        -1062.621    -1073.942       11.321   630.1
6.8000        -1062.748    -1073.153       10.406   579.1
6.9000        -1062.651    -1074.032       11.381   633.4
7.0000        -1062.963    -1074.553       11.590   645.0
7.1000        -1062.763    -1073.483       10.720   596.7
7.2000        -1062.604    -1073.200       10.596   589.7
7.3000        -1062.673    -1072.798       10.126   563.6
7.4000        -1062.719    -1073.517       10.798   601.0
7.5000        -1062.725    -1073.028       10.304   573.5
7.6000        -1062.448    -1073.536       11.087   617.1
7.7000        -1062.625    -1073.285       10.660   593.3
7.8000        -1062.430    -1073.434       11.005   612.5
7.9000        -1062.202    -1072.571       10.369   577.1
8.0000        -1062.480    -1073.285       10.805   601.4
8.1000        -1062.790    -1072.482        9.692   539.4
8.2000        -1062.657    -1073.663       11.006   612.5
8.3000        -1062.682    -1073.310       10.628   591.5
8.4000        -1062.586    -1073.358       10.773   599.6
8.5000        -1062.678    -1074.450       11.771   655.1
8.6000        -1062.557    -1073.678       11.121   619.0
8.7000        -1062.627    -1073.342       10.716   596.4
8.8000        -1062.720    -1073.324       10.604   590.2
8.9000        -1062.602    -1073.505       10.904   606.9
9.0000        -1062.416    -1072.459       10.043   559.0
9.1000        -1062.481    -1073.828       11.347   631.5
9.2000        -1062.552    -1073.352       10.800   601.1
9.3000        -1062.383    -1073.048       10.665   593.6
9.4000        -1062.515    -1072.960       10.446   581.4
9.5000        -1062.685    -1073.637       10.952   609.5
9.6000        -1062.824    -1072.785        9.961   554.4
9.7000        -1062.614    -1073.159       10.545   586.9
9.8000        -1062.832    -1073.592       10.759   598.8
9.9000        -1062.835    -1074.710       11.875   660.9
10.0000       -1062.710    -1073.944       11.234   625.2
10.1000       -1062.820    -1073.254       10.433   580.7
10.2000       -1062.852    -1073.556       10.705   595.8
10.3000       -1062.891    -1072.872        9.981   555.5
10.4000       -1062.525    -1073.516       10.991   611.7
10.5000       -1062.978    -1074.110       11.132   619.6
10.6000       -1062.893    -1074.058       11.165   621.4
10.7000       -1062.608    -1073.053       10.445   581.3
10.8000       -1062.601    -1073.162       10.561   587.8
10.9000       -1062.566    -1073.090       10.524   585.7
11.0000       -1062.679    -1072.879       10.201   567.7
11.1000       -1062.994    -1073.449       10.455   581.9
11.2000       -1062.868    -1073.242       10.374   577.4
11.3000       -1062.729    -1073.302       10.573   588.4
11.4000       -1062.797    -1074.109       11.312   629.6
11.5000       -1062.644    -1073.964       11.321   630.1
11.6000       -1062.781    -1073.586       10.805   601.4
11.7000       -1062.831    -1073.949       11.118   618.8
11.8000       -1063.014    -1073.101       10.087   561.4
11.9000       -1062.895    -1074.445       11.550   642.8
12.0000       -1062.848    -1073.905       11.057   615.4
12.1000       -1062.841    -1073.532       10.691   595.0
12.2000       -1062.740    -1073.092       10.352   576.2
12.3000       -1062.810    -1073.875       11.065   615.9
12.4000       -1062.730    -1072.921       10.191   567.2
12.5000       -1062.869    -1073.369       10.500   584.4
12.6000       -1062.646    -1072.969       10.323   574.6
12.7000       -1062.710    -1072.674        9.963   554.5
12.8000       -1062.573    -1073.231       10.658   593.2
12.9000       -1062.691    -1072.701       10.010   557.1
13.0000       -1062.468    -1073.256       10.788   600.4
13.1000       -1062.733    -1074.504       11.772   655.2
13.2000       -1062.767    -1073.406       10.639   592.1
13.3000       -1062.752    -1073.042       10.289   572.7
13.4000       -1062.769    -1073.397       10.628   591.5
13.5000       -1062.759    -1073.571       10.813   601.8
13.6000       -1062.780    -1073.059       10.279   572.1
13.7000       -1062.715    -1073.200       10.486   583.6
13.8000       -1062.620    -1072.799       10.180   566.6
13.9000       -1062.471    -1073.494       11.023   613.5
14.0000       -1062.903    -1074.064       11.162   621.2
14.1000       -1062.836    -1073.639       10.803   601.3
14.2000       -1062.884    -1073.031       10.147   564.8
14.3000       -1062.885    -1073.606       10.721   596.7
14.4000       -1063.010    -1073.344       10.333   575.1
14.5000       -1062.947    -1072.544        9.598   534.2
14.6000       -1062.904    -1073.766       10.862   604.5
14.7000       -1062.855    -1073.815       10.961   610.0
14.8000       -1062.752    -1074.798       12.046   670.5
14.9000       -1062.798    -1074.075       11.276   627.6
15.0000       -1062.961    -1073.424       10.463   582.4
15.1000       -1062.785    -1073.268       10.483   583.4
15.2000       -1062.758    -1072.507        9.748   542.6
15.3000       -1062.819    -1072.855       10.037   558.6
15.4000       -1062.759    -1073.518       10.759   598.8
15.5000       -1062.709    -1074.016       11.307   629.3
15.6000       -1062.854    -1073.708       10.854   604.1
15.7000       -1062.765    -1073.242       10.477   583.1
15.8000       -1062.929    -1073.737       10.808   601.6
15.9000       -1062.872    -1074.397       11.525   641.4
16.0000       -1062.911    -1074.197       11.287   628.2
16.1000       -1062.788    -1072.695        9.907   551.4
16.2000       -1062.796    -1074.230       11.434   636.4
16.3000       -1062.988    -1073.777       10.790   600.5
16.4000       -1062.671    -1073.496       10.825   602.5
16.5000       -1062.836    -1072.697        9.861   548.8
16.6000       -1062.860    -1073.970       11.111   618.4
16.7000       -1062.723    -1073.507       10.783   600.2
16.8000       -1062.779    -1073.352       10.573   588.5
16.9000       -1062.662    -1073.674       11.013   612.9
17.0000       -1062.724    -1073.805       11.081   616.7
17.1000       -1062.774    -1073.039       10.265   571.3
17.2000       -1062.742    -1073.399       10.656   593.1
17.3000       -1062.949    -1074.954       12.004   668.1
17.4000       -1062.730    -1073.758       11.028   613.8
17.5000       -1062.680    -1073.040       10.360   576.6
17.6000       -1062.663    -1072.796       10.133   564.0
17.7000       -1062.446    -1072.218        9.772   543.9
17.8000       -1062.596    -1072.446        9.850   548.2
17.9000       -1062.659    -1073.405       10.746   598.1
18.0000       -1062.718    -1074.253       11.534   642.0
18.1000       -1062.739    -1073.610       10.870   605.0
18.2000       -1062.652    -1073.658       11.006   612.6
18.3000       -1062.748    -1073.421       10.673   594.0
18.4000       -1062.729    -1073.582       10.853   604.0
18.5000       -1062.731    -1072.808       10.077   560.9
18.6000       -1062.686    -1073.075       10.389   578.2
18.7000       -1062.654    -1072.619        9.965   554.6
18.8000       -1062.459    -1073.258       10.799   601.0
18.9000       -1062.766    -1073.375       10.609   590.5
19.0000       -1063.005    -1073.507       10.502   584.5
19.1000       -1062.770    -1074.224       11.454   637.5
