CHGNet initialized with 400,438 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 18:20:25     -101.413445        0.394846
BFGS:    1 18:20:25     -101.443634        0.301891
BFGS:    2 18:20:25     -101.489079        0.080531
BFGS:    3 18:20:25     -101.489971        0.070795
BFGS:    4 18:20:25     -101.490978        0.065968
BFGS:    5 18:20:25     -101.493233        0.066696
BFGS:    6 18:20:26     -101.496552        0.087151
BFGS:    7 18:20:26     -101.499939        0.088911
BFGS:    8 18:20:26     -101.502285        0.076829
BFGS:    9 18:20:26     -101.503567        0.049504
BFGS:   10 18:20:26     -101.504230        0.034839
BFGS:   11 18:20:26     -101.505032        0.041281
BFGS:   12 18:20:26     -101.505867        0.063768
BFGS:   13 18:20:26     -101.507046        0.076652
BFGS:   14 18:20:26     -101.508636        0.073295
BFGS:   15 18:20:26     -101.510170        0.051898
BFGS:   16 18:20:26     -101.510914        0.024219
BFGS:   17 18:20:27     -101.511143        0.023867
BFGS:   18 18:20:27     -101.511349        0.029086
BFGS:   19 18:20:27     -101.511806        0.036879
BFGS:   20 18:20:27     -101.512608        0.041777
BFGS:   21 18:20:27     -101.513569        0.042573
BFGS:   22 18:20:27     -101.514175        0.031532
BFGS:   23 18:20:27     -101.514393        0.023237
BFGS:   24 18:20:27     -101.514473        0.016569
BFGS:   25 18:20:27     -101.514587        0.017000
BFGS:   26 18:20:27     -101.514759        0.019466
BFGS:   27 18:20:27     -101.515011        0.031111
BFGS:   28 18:20:27     -101.515354        0.039770
BFGS:   29 18:20:27     -101.515755        0.040942
BFGS:   30 18:20:28     -101.516098        0.027992
BFGS:   31 18:20:28     -101.516293        0.014811
BFGS:   32 18:20:28     -101.516384        0.014702
BFGS:   33 18:20:28     -101.516464        0.014218
BFGS:   34 18:20:28     -101.516590        0.015324
BFGS:   35 18:20:28     -101.516796        0.025176
BFGS:   36 18:20:28     -101.517139        0.040128
BFGS:   37 18:20:28     -101.517597        0.049849
BFGS:   38 18:20:28     -101.518089        0.043800
BFGS:   39 18:20:28     -101.518421        0.023309
BFGS:   40 18:20:28     -101.518536        0.011152
