      Step     Time          Energy          fmax
BFGS:    0 15:43:54      -91.694580        0.358736
BFGS:    1 15:43:54      -91.717300        0.282686
BFGS:    2 15:43:54      -91.755264        0.058457
BFGS:    3 15:43:54      -91.755928        0.059742
BFGS:    4 15:43:54      -91.757523        0.062468
BFGS:    5 15:43:54      -91.759773        0.058679
BFGS:    6 15:44:03      -91.762375        0.071874
BFGS:    7 15:44:03      -91.763992        0.054067
BFGS:    8 15:44:03      -91.764648        0.031645
BFGS:    9 15:44:03      -91.764877        0.019340
BFGS:   10 15:44:03      -91.765007        0.018205
BFGS:   11 15:44:03      -91.765121        0.020815
BFGS:   12 15:44:03      -91.765266        0.028997
BFGS:   13 15:44:03      -91.765533        0.033767
BFGS:   14 15:44:12      -91.765907        0.035626
BFGS:   15 15:44:12      -91.766235        0.024783
BFGS:   16 15:44:12      -91.766373        0.010372
BFGS:   17 15:44:12      -91.766426        0.009173
