      Step     Time          Energy          fmax
BFGS:    0 18:20:23      -91.409270        0.394158
BFGS:    1 18:20:24      -91.439365        0.299130
BFGS:    2 18:20:26      -91.484274        0.053491
BFGS:    3 18:20:26      -91.484700        0.052687
BFGS:    4 18:20:26      -91.485467        0.050577
BFGS:    5 18:20:26      -91.486927        0.048366
BFGS:    6 18:20:26      -91.489128        0.078444
BFGS:    7 18:20:26      -91.491336        0.083320
BFGS:    8 18:20:26      -91.492739        0.055950
BFGS:    9 18:20:27      -91.493421        0.037351
BFGS:   10 18:20:27      -91.493814        0.036629
BFGS:   11 18:20:27      -91.494236        0.037062
BFGS:   12 18:20:27      -91.494825        0.055572
BFGS:   13 18:20:27      -91.495713        0.067692
BFGS:   14 18:20:27      -91.496827        0.058131
BFGS:   15 18:20:27      -91.497720        0.042830
BFGS:   16 18:20:27      -91.498110        0.024610
BFGS:   17 18:20:27      -91.498238        0.023528
BFGS:   18 18:20:27      -91.498359        0.022840
BFGS:   19 18:20:27      -91.498585        0.030298
BFGS:   20 18:20:27      -91.498906        0.036125
BFGS:   21 18:20:27      -91.499244        0.032568
BFGS:   22 18:20:27      -91.499463        0.020248
BFGS:   23 18:20:28      -91.499575        0.015270
BFGS:   24 18:20:28      -91.499652        0.014630
BFGS:   25 18:20:28      -91.499739        0.021693
BFGS:   26 18:20:28      -91.499861        0.029073
BFGS:   27 18:20:28      -91.500020        0.028515
BFGS:   28 18:20:28      -91.500169        0.017504
BFGS:   29 18:20:28      -91.500253        0.013744
BFGS:   30 18:20:28      -91.500293        0.013908
BFGS:   31 18:20:28      -91.500332        0.013290
BFGS:   32 18:20:28      -91.500410        0.013674
BFGS:   33 18:20:28      -91.500563        0.022623
BFGS:   34 18:20:28      -91.500806        0.028699
BFGS:   35 18:20:28      -91.501048        0.023879
BFGS:   36 18:20:29      -91.501177        0.014606
BFGS:   37 18:20:29      -91.501222        0.010476
BFGS:   38 18:20:29      -91.501255        0.010646
BFGS:   39 18:20:29      -91.501312        0.014880
BFGS:   40 18:20:29      -91.501400        0.019962
BFGS:   41 18:20:29      -91.501512        0.024485
BFGS:   42 18:20:29      -91.501608        0.019734
BFGS:   43 18:20:29      -91.501670        0.010955
BFGS:   44 18:20:29      -91.501717        0.013727
BFGS:   45 18:20:29      -91.501773        0.015172
BFGS:   46 18:20:29      -91.501861        0.019829
BFGS:   47 18:20:29      -91.501980        0.021527
BFGS:   48 18:20:29      -91.502080        0.013653
BFGS:   49 18:20:29      -91.502120        0.005093
BFGS:   50 18:20:29      -91.502131        0.004738
BFGS:   51 18:20:30      -91.502137        0.004071
BFGS:   52 18:20:30      -91.502150        0.006038
BFGS:   53 18:20:30      -91.502172        0.007485
BFGS:   54 18:20:30      -91.502200        0.006568
BFGS:   55 18:20:30      -91.502217        0.003107
BFGS:   56 18:20:30      -91.502222        0.001510
BFGS:   57 18:20:30      -91.502222        0.001324
BFGS:   58 18:20:30      -91.502223        0.001187
BFGS:   59 18:20:30      -91.502224        0.001647
BFGS:   60 18:20:30      -91.502226        0.001928
BFGS:   61 18:20:30      -91.502228        0.001708
BFGS:   62 18:20:30      -91.502230        0.001356
BFGS:   63 18:20:30      -91.502230        0.001340
BFGS:   64 18:20:30      -91.502231        0.001437
BFGS:   65 18:20:30      -91.502232        0.001640
BFGS:   66 18:20:31      -91.502234        0.001800
BFGS:   67 18:20:31      -91.502236        0.001510
BFGS:   68 18:20:31      -91.502237        0.000866
BFGS:   69 18:20:31      -91.502238        0.000873
BFGS:   70 18:20:31      -91.502238        0.000846
BFGS:   71 18:20:31      -91.502238        0.000795
BFGS:   72 18:20:31      -91.502239        0.000708
BFGS:   73 18:20:31      -91.502239        0.000946
BFGS:   74 18:20:31      -91.502241        0.000929
BFGS:   75 18:20:31      -91.502242        0.000555
BFGS:   76 18:20:31      -91.502242        0.000298
BFGS:   77 18:20:31      -91.502242        0.000250
BFGS:   78 18:20:31      -91.502242        0.000230
BFGS:   79 18:20:31      -91.502242        0.000279
BFGS:   80 18:20:31      -91.502242        0.000325
BFGS:   81 18:20:32      -91.502242        0.000304
BFGS:   82 18:20:32      -91.502243        0.000172
BFGS:   83 18:20:32      -91.502243        0.000108
BFGS:   84 18:20:32      -91.502243        0.000103
BFGS:   85 18:20:32      -91.502243        0.000102
BFGS:   86 18:20:32      -91.502243        0.000100
BFGS:   87 18:20:32      -91.502243        0.000097
BFGS:   88 18:20:32      -91.502243        0.000088
BFGS:   89 18:20:32      -91.502243        0.000071
BFGS:   90 18:20:32      -91.502243        0.000058
BFGS:   91 18:20:32      -91.502243        0.000026
BFGS:   92 18:20:32      -91.502243        0.000005
