CHGNet initialized with 400,438 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 19:54:05     -262.575645        0.667662
BFGS:    1 19:54:06     -262.661133        0.452895
BFGS:    2 19:54:06     -262.762980        0.357436
BFGS:    3 19:54:06     -262.818907        0.260868
BFGS:    4 19:54:06     -262.833498        0.179957
BFGS:    5 19:54:07     -262.837910        0.088348
BFGS:    6 19:54:07     -262.840965        0.103804
BFGS:    7 19:54:07     -262.846527        0.124393
BFGS:    8 19:54:07     -262.853085        0.202953
BFGS:    9 19:54:07     -262.859985        0.210059
BFGS:   10 19:54:07     -262.865101        0.124600
BFGS:   11 19:54:07     -262.867847        0.061284
BFGS:   12 19:54:07     -262.869495        0.055049
BFGS:   13 19:54:08     -262.870663        0.043132
BFGS:   14 19:54:08     -262.871246        0.022608
BFGS:   15 19:54:08     -262.871384        0.011341
BFGS:   16 19:54:08     -262.871401        0.010850
BFGS:   17 19:54:08     -262.871452        0.013302
BFGS:   18 19:54:08     -262.871487        0.009550
BFGS:   19 19:54:08     -262.871521        0.004342
BFGS:   20 19:54:09     -262.871521        0.002151
BFGS:   21 19:54:09     -262.871521        0.002299
BFGS:   22 19:54:09     -262.871521        0.003085
BFGS:   23 19:54:09     -262.871521        0.003080
BFGS:   24 19:54:09     -262.871521        0.001677
BFGS:   25 19:54:09     -262.871538        0.000379
BFGS:   26 19:54:09     -262.871521        0.000020
BFGS:   27 19:54:09     -262.871538        0.000008
