      Step     Time          Energy          fmax
BFGS:    0 19:57:35     -245.702576        0.618458
BFGS:    1 19:57:35     -245.783432        0.438774
BFGS:    2 19:57:35     -245.898544        0.318527
BFGS:    3 19:57:35     -245.950760        0.292723
BFGS:    4 19:57:35     -245.969315        0.197321
BFGS:    5 19:58:10     -245.977051        0.119646
BFGS:    6 19:58:10     -245.983948        0.142596
BFGS:    7 19:58:10     -245.993103        0.184172
BFGS:    8 19:58:10     -246.004318        0.258082
BFGS:    9 19:58:10     -246.013885        0.206706
BFGS:   10 19:58:11     -246.019135        0.076479
BFGS:   11 19:58:11     -246.021378        0.054724
BFGS:   12 19:58:11     -246.022842        0.063466
BFGS:   13 19:58:11     -246.024139        0.070566
BFGS:   14 19:58:11     -246.024796        0.043393
BFGS:   15 19:58:11     -246.025146        0.027247
BFGS:   16 19:58:11     -246.025482        0.026531
BFGS:   17 19:58:11     -246.025940        0.029100
BFGS:   18 19:58:11     -246.026306        0.023430
BFGS:   19 19:58:11     -246.026428        0.009905
