      Step     Time          Energy          fmax
BFGS:    0 19:54:46     -245.586383        0.604875
BFGS:    1 19:54:47     -245.662218        0.424843
BFGS:    2 19:54:50     -245.775103        0.298070
BFGS:    3 19:54:50     -245.814206        0.240095
BFGS:    4 19:54:50     -245.824702        0.142482
BFGS:    5 19:54:50     -245.828860        0.107061
BFGS:    6 19:54:50     -245.834047        0.133117
BFGS:    7 19:54:50     -245.842178        0.170871
BFGS:    8 19:54:50     -245.851484        0.230774
BFGS:    9 19:54:50     -245.858400        0.172400
BFGS:   10 19:54:50     -245.861912        0.061971
BFGS:   11 19:54:51     -245.863506        0.050730
BFGS:   12 19:54:51     -245.864484        0.037114
BFGS:   13 19:54:51     -245.864911        0.022719
BFGS:   14 19:54:51     -245.864993        0.006876
BFGS:   15 19:54:51     -245.865010        0.004696
BFGS:   16 19:54:51     -245.865023        0.007310
BFGS:   17 19:54:51     -245.865035        0.005830
BFGS:   18 19:54:51     -245.865039        0.001788
BFGS:   19 19:54:51     -245.865040        0.000741
BFGS:   20 19:54:51     -245.865040        0.000809
BFGS:   21 19:54:51     -245.865040        0.001097
BFGS:   22 19:54:52     -245.865040        0.000998
BFGS:   23 19:54:52     -245.865040        0.000517
BFGS:   24 19:54:52     -245.865040        0.000156
BFGS:   25 19:54:52     -245.865040        0.000017
BFGS:   26 19:54:52     -245.865040        0.000002
