CHGNet initialized with 400,438 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 19:42:47     -198.575787       16.214777
BFGS:    1 19:42:50     -223.659805        6.955255
BFGS:    2 19:42:50     -238.077799        3.656671
BFGS:    3 19:42:50     -245.456354        3.633192
BFGS:    4 19:42:51     -250.413849        2.975127
BFGS:    5 19:42:51     -251.516121        1.750578
BFGS:    6 19:42:51     -253.184086        1.825618
BFGS:    7 19:42:51     -254.622660        3.479757
BFGS:    8 19:42:51     -258.445988        7.836120
BFGS:    9 19:42:51     -260.176060       12.272376
BFGS:   10 19:42:51     -263.402847       10.633187
BFGS:   11 19:42:51     -280.099594        4.670253
BFGS:   12 19:42:52     -279.565435       11.308609
BFGS:   13 19:42:52     -287.376234        2.076046
BFGS:   14 19:42:52     -288.961029        1.573777
BFGS:   15 19:42:52     -291.382656        1.315887
BFGS:   16 19:42:52     -291.836151        0.829352
BFGS:   17 19:42:52     -292.178066        0.662496
BFGS:   18 19:42:52     -292.429585        0.701579
BFGS:   19 19:42:52     -292.862309        0.761291
BFGS:   20 19:42:53     -293.092815        0.566207
BFGS:   21 19:42:53     -293.205906        0.523302
BFGS:   22 19:42:53     -293.379078        0.589252
BFGS:   23 19:42:53     -293.650131        0.994608
BFGS:   24 19:42:53     -294.020164        0.954160
BFGS:   25 19:42:53     -294.227428        0.771329
BFGS:   26 19:42:53     -294.304092        0.471140
BFGS:   27 19:42:53     -294.333893        0.215223
BFGS:   28 19:42:54     -294.342339        0.144654
BFGS:   29 19:42:54     -294.355419        0.231063
BFGS:   30 19:42:54     -294.371109        0.298858
BFGS:   31 19:42:54     -294.386936        0.249649
BFGS:   32 19:42:54     -294.398129        0.141290
BFGS:   33 19:42:54     -294.406574        0.125424
BFGS:   34 19:42:54     -294.412994        0.123136
BFGS:   35 19:42:54     -294.416222        0.076822
BFGS:   36 19:42:55     -294.417149        0.025134
BFGS:   37 19:42:55     -294.417320        0.004953
BFGS:   38 19:42:55     -294.417320        0.002118
BFGS:   39 19:42:55     -294.417320        0.000592
BFGS:   40 19:42:55     -294.417320        0.000153
BFGS:   41 19:42:55     -294.417320        0.000012
BFGS:   42 19:42:55     -294.417320        0.000009
