      Step     Time          Energy          fmax
BFGS:    0 19:43:44     -193.502777       14.866941
BFGS:    1 19:43:55     -208.422195        5.779882
BFGS:    2 19:43:55     -221.364380        3.630580
BFGS:    3 19:43:55     -230.169601        4.125756
BFGS:    4 19:43:55     -235.360184        3.507996
BFGS:    5 19:43:55     -237.883362        2.666332
BFGS:    6 19:43:55     -239.369720        4.430227
BFGS:    7 19:43:55     -240.595184        1.267964
BFGS:    8 19:43:55     -241.058105        0.738904
BFGS:    9 19:43:55     -241.648315        0.941331
BFGS:   10 19:43:55     -241.852356        0.964581
BFGS:   11 19:43:55     -242.899063        1.691876
BFGS:   12 19:43:55     -243.632980        1.627938
BFGS:   13 19:43:55     -245.111984        2.082189
BFGS:   14 19:43:55     -245.756882        1.359090
BFGS:   15 19:43:55     -246.375183        1.038198
BFGS:   16 19:43:55     -247.062332        1.221333
BFGS:   17 19:43:55     -247.425171        1.255393
BFGS:   18 19:43:55     -248.475037        1.139897
BFGS:   19 19:43:55     -249.566528        0.842712
BFGS:   20 19:43:55     -251.123611        1.180553
BFGS:   21 19:43:56     -251.888092        1.531758
BFGS:   22 19:43:56     -252.443207        1.336433
BFGS:   23 19:43:56     -253.123291        1.477473
BFGS:   24 19:43:56     -253.859024        1.019780
BFGS:   25 19:43:56     -254.634933        2.385380
BFGS:   26 19:43:56     -257.212982        2.358010
BFGS:   27 19:43:56     -259.272461        1.926824
BFGS:   28 19:43:56     -259.229340        4.258537
BFGS:   29 19:43:56     -261.299042        1.206409
BFGS:   30 19:43:56     -262.182922        1.057731
BFGS:   31 19:43:56     -262.941986        1.098794
BFGS:   32 19:43:56     -263.832520        1.058934
BFGS:   33 19:43:56     -264.299896        1.068178
BFGS:   34 19:43:56     -264.767548        0.946178
BFGS:   35 19:43:56     -265.128754        0.961341
BFGS:   36 19:43:56     -265.938629        1.449537
BFGS:   37 19:43:56     -266.522217        1.686714
BFGS:   38 19:43:56     -266.951050        1.209464
BFGS:   39 19:43:56     -267.179932        0.541988
BFGS:   40 19:43:57     -267.283722        0.409256
BFGS:   41 19:43:57     -267.410217        0.267201
BFGS:   42 19:43:57     -267.431519        0.111868
BFGS:   43 19:43:57     -267.437225        0.029293
BFGS:   44 19:43:57     -267.437653        0.008625
