      Step     Time          Energy          fmax
BFGS:    0 19:42:59     -194.628898       12.553096
BFGS:    1 19:43:00     -215.191446        7.387229
BFGS:    2 19:43:02     -226.580529        3.546671
BFGS:    3 19:43:04     -230.230771        3.214681
BFGS:    4 19:43:04     -235.642573        2.094883
BFGS:    5 19:43:04     -237.275405        3.095791
BFGS:    6 19:43:07     -240.003952        2.254059
BFGS:    7 19:43:07     -242.500679        5.693161
BFGS:    8 19:43:07     -246.694231        7.120061
BFGS:    9 19:43:07     -252.519705        8.652160
BFGS:   10 19:43:07     -252.766986       11.594834
BFGS:   11 19:43:07     -257.168080        7.718058
BFGS:   12 19:43:08     -258.974667        6.271023
BFGS:   13 19:43:08     -260.042633        6.364272
BFGS:   14 19:43:08     -261.342493        6.698387
BFGS:   15 19:43:08     -261.965336        6.411865
BFGS:   16 19:43:08     -262.197057        6.258085
BFGS:   17 19:43:08     -262.711123        5.823285
BFGS:   18 19:43:08     -263.051201        5.607254
BFGS:   19 19:43:08     -263.997620        4.865177
BFGS:   20 19:43:08     -264.435146        4.490894
BFGS:   21 19:43:08     -264.641902        4.406781
BFGS:   22 19:43:08     -264.817792        4.450421
BFGS:   23 19:43:08     -265.002284        4.600777
BFGS:   24 19:43:09     -265.084107        4.713442
BFGS:   25 19:43:09     -265.115321        4.769423
BFGS:   26 19:43:09     -265.135991        4.844297
BFGS:   27 19:43:09     -265.153790        4.935907
BFGS:   28 19:43:09     -265.182818        5.085385
BFGS:   29 19:43:09     -265.230749        5.277123
BFGS:   30 19:43:09     -265.315662        5.504160
BFGS:   31 19:43:09     -265.414121        5.618018
BFGS:   32 19:43:09     -265.478352        5.503736
BFGS:   33 19:43:09     -265.509331        5.334115
BFGS:   34 19:43:09     -265.517266        5.283052
BFGS:   35 19:43:10     -265.520213        5.277595
BFGS:   36 19:43:10     -265.521413        5.283681
BFGS:   37 19:43:10     -265.521445        5.287770
BFGS:   38 19:43:10     -265.521531        5.296865
BFGS:   39 19:43:10     -265.521693        5.307199
BFGS:   40 19:43:10     -265.522188        5.326796
BFGS:   41 19:43:10     -265.523413        5.356499
BFGS:   42 19:43:10     -265.526686        5.405277
BFGS:   43 19:43:10     -265.535171        5.482575
BFGS:   44 19:43:10     -265.557399        5.605570
BFGS:   45 19:43:10     -265.615250        5.797086
BFGS:   46 19:43:10     -265.765277        6.084165
BFGS:   47 19:43:11     -266.148900        6.469998
BFGS:   48 19:43:11     -267.095776        6.811616
BFGS:   49 19:43:11     -269.157189        6.364732
BFGS:   50 19:43:11     -271.089072        4.765233
BFGS:   51 19:43:11     -272.908856        3.498963
BFGS:   52 19:43:11     -274.960751        3.045164
BFGS:   53 19:43:11     -276.928505        1.197845
BFGS:   54 19:43:11     -277.334931        0.559465
BFGS:   55 19:43:11     -277.496187        0.946614
BFGS:   56 19:43:11     -277.678927        0.216163
BFGS:   57 19:43:11     -277.701913        0.126120
BFGS:   58 19:43:11     -277.710319        0.074148
BFGS:   59 19:43:12     -277.712203        0.027275
BFGS:   60 19:43:12     -277.712495        0.009520
BFGS:   61 19:43:12     -277.712531        0.003909
BFGS:   62 19:43:12     -277.712536        0.000546
BFGS:   63 19:43:12     -277.712536        0.000263
BFGS:   64 19:43:12     -277.712536        0.000064
BFGS:   65 19:43:12     -277.712536        0.000005
