      Step     Time          Energy          fmax
BFGS:    0 15:53:40     -571.690002        1.729856
BFGS:    1 15:53:49     -571.993042        0.542196
BFGS:    2 15:53:57     -572.076721        0.374398
BFGS:    3 15:53:57     -572.184265        0.334157
BFGS:    4 15:53:58     -572.256226        0.263709
BFGS:    5 15:53:58     -572.288940        0.186659
BFGS:    6 15:53:58     -572.313416        0.164339
BFGS:    7 15:53:58     -572.330200        0.198238
BFGS:    8 15:53:58     -572.347107        0.213258
BFGS:    9 15:53:58     -572.368469        0.188324
BFGS:   10 15:53:58     -572.391541        0.145196
BFGS:   11 15:53:58     -572.406555        0.124712
BFGS:   12 15:53:58     -572.412476        0.060512
BFGS:   13 15:53:58     -572.415222        0.066041
BFGS:   14 15:53:58     -572.418213        0.060822
BFGS:   15 15:53:58     -572.421997        0.082132
BFGS:   16 15:53:59     -572.426025        0.070932
BFGS:   17 15:53:59     -572.429321        0.070252
BFGS:   18 15:53:59     -572.431763        0.062067
BFGS:   19 15:53:59     -572.433838        0.057851
BFGS:   20 15:53:59     -572.435547        0.058282
BFGS:   21 15:53:59     -572.437012        0.042701
BFGS:   22 15:53:59     -572.438110        0.034823
BFGS:   23 15:53:59     -572.438904        0.031683
BFGS:   24 15:53:59     -572.439453        0.026368
BFGS:   25 15:53:59     -572.439941        0.023043
BFGS:   26 15:53:59     -572.440369        0.022981
BFGS:   27 15:54:00     -572.440918        0.034459
BFGS:   28 15:54:00     -572.441284        0.032932
BFGS:   29 15:54:00     -572.441650        0.020357
BFGS:   30 15:54:00     -572.441895        0.019948
BFGS:   31 15:54:00     -572.442139        0.016687
BFGS:   32 15:54:00     -572.442322        0.022766
BFGS:   33 15:54:00     -572.442505        0.022227
BFGS:   34 15:54:00     -572.442688        0.017591
BFGS:   35 15:54:00     -572.442810        0.015087
BFGS:   36 15:54:00     -572.442932        0.012364
BFGS:   37 15:54:00     -572.442993        0.014346
BFGS:   38 15:54:01     -572.443115        0.013683
BFGS:   39 15:54:01     -572.443176        0.013738
BFGS:   40 15:54:01     -572.443298        0.015061
BFGS:   41 15:54:01     -572.443359        0.011260
BFGS:   42 15:54:01     -572.443420        0.008645
