CHGNet initialized with 400,438 parameters
CHGNet will run on cuda
      Step     Time          Energy          fmax
BFGS:    0 14:44:40     -111.371277        0.242836
BFGS:    1 14:44:40     -111.378494        0.197118
BFGS:    2 14:44:40     -111.397148        0.113708
BFGS:    3 14:44:40     -111.398849        0.103645
BFGS:    4 14:44:40     -111.402153        0.069574
BFGS:    5 14:44:41     -111.403900        0.074037
BFGS:    6 14:44:41     -111.405182        0.051036
BFGS:    7 14:44:41     -111.405548        0.021031
BFGS:    8 14:44:41     -111.405632        0.013001
BFGS:    9 14:44:41     -111.405663        0.011202
BFGS:   10 14:44:41     -111.405716        0.016337
BFGS:   11 14:44:41     -111.405777        0.015353
BFGS:   12 14:44:41     -111.405792        0.008342
BFGS:   13 14:44:41     -111.405807        0.003581
BFGS:   14 14:44:41     -111.405800        0.003323
BFGS:   15 14:44:41     -111.405807        0.003733
BFGS:   16 14:44:42     -111.405823        0.002833
BFGS:   17 14:44:42     -111.405807        0.001039
BFGS:   18 14:44:42     -111.405815        0.000229
BFGS:   19 14:44:42     -111.405815        0.000013
BFGS:   20 14:44:42     -111.405815        0.000008
