      Step     Time          Energy          fmax
BFGS:    0 14:31:34     -105.803550        0.276989
BFGS:    1 14:31:34     -105.812595        0.227002
BFGS:    2 14:31:37     -105.834819        0.101648
BFGS:    3 14:31:39     -105.836004        0.090947
BFGS:    4 14:31:39     -105.840530        0.026887
BFGS:    5 14:31:42     -105.840634        0.012883
BFGS:    6 14:31:42     -105.840672        0.010336
BFGS:    7 14:31:42     -105.840696        0.009564
BFGS:    8 14:31:42     -105.840730        0.010558
BFGS:    9 14:31:43     -105.840745        0.007870
BFGS:   10 14:31:43     -105.840749        0.003538
BFGS:   11 14:31:43     -105.840750        0.002478
BFGS:   12 14:31:43     -105.840753        0.003144
BFGS:   13 14:31:43     -105.840755        0.002595
BFGS:   14 14:31:43     -105.840756        0.001499
BFGS:   15 14:31:43     -105.840756        0.000351
BFGS:   16 14:31:43     -105.840756        0.000022
BFGS:   17 14:31:43     -105.840756        0.000001
