      Step     Time          Energy          fmax
BFGS:    0 17:32:15     -102.009232        2.400680
BFGS:    1 17:32:25     -102.250389        1.244616
BFGS:    2 17:32:34     -102.392166        0.559280
BFGS:    3 17:32:34     -102.428505        0.434520
BFGS:    4 17:32:34     -102.445251        0.254991
BFGS:    5 17:32:34     -102.452080        0.184276
BFGS:    6 17:32:34     -102.457512        0.138900
BFGS:    7 17:32:34     -102.461319        0.134723
BFGS:    8 17:32:34     -102.464012        0.104479
BFGS:    9 17:32:34     -102.464996        0.058270
BFGS:   10 17:32:34     -102.465302        0.037133
BFGS:   11 17:32:34     -102.465500        0.035668
BFGS:   12 17:32:34     -102.465668        0.030144
BFGS:   13 17:32:34     -102.465782        0.024282
BFGS:   14 17:32:34     -102.465866        0.026024
BFGS:   15 17:32:34     -102.465950        0.020934
BFGS:   16 17:32:34     -102.466034        0.021074
BFGS:   17 17:32:34     -102.466095        0.021339
BFGS:   18 17:32:34     -102.466133        0.016042
BFGS:   19 17:32:35     -102.466164        0.013607
BFGS:   20 17:32:35     -102.466202        0.012853
BFGS:   21 17:32:35     -102.466225        0.010699
BFGS:   22 17:32:35     -102.466248        0.008226
