      Step     Time          Energy          fmax
BFGS:    0 17:24:32     -101.717979        2.279012
BFGS:    1 17:24:33     -101.943381        1.204227
BFGS:    2 17:24:35     -102.079410        0.525729
BFGS:    3 17:24:38     -102.114687        0.411079
BFGS:    4 17:24:41     -102.130222        0.262236
BFGS:    5 17:24:41     -102.137994        0.175866
BFGS:    6 17:24:41     -102.143661        0.141623
BFGS:    7 17:24:41     -102.147123        0.124764
BFGS:    8 17:24:41     -102.149190        0.089903
BFGS:    9 17:24:41     -102.149854        0.048689
BFGS:   10 17:24:42     -102.150063        0.029746
BFGS:   11 17:24:42     -102.150214        0.030436
BFGS:   12 17:24:42     -102.150333        0.021801
BFGS:   13 17:24:42     -102.150408        0.020538
BFGS:   14 17:24:42     -102.150461        0.019292
BFGS:   15 17:24:42     -102.150512        0.013346
BFGS:   16 17:24:42     -102.150557        0.016337
BFGS:   17 17:24:42     -102.150587        0.014473
BFGS:   18 17:24:42     -102.150605        0.009732
BFGS:   19 17:24:42     -102.150621        0.010402
BFGS:   20 17:24:42     -102.150639        0.008182
BFGS:   21 17:24:42     -102.150650        0.006945
BFGS:   22 17:24:42     -102.150654        0.004051
BFGS:   23 17:24:42     -102.150655        0.003229
BFGS:   24 17:24:42     -102.150657        0.003201
BFGS:   25 17:24:42     -102.150658        0.005138
BFGS:   26 17:24:42     -102.150660        0.004523
BFGS:   27 17:24:42     -102.150661        0.001990
BFGS:   28 17:24:42     -102.150661        0.001049
BFGS:   29 17:24:43     -102.150661        0.000963
BFGS:   30 17:24:43     -102.150661        0.001061
BFGS:   31 17:24:43     -102.150661        0.000856
BFGS:   32 17:24:43     -102.150661        0.000350
BFGS:   33 17:24:43     -102.150661        0.000288
BFGS:   34 17:24:43     -102.150661        0.000254
BFGS:   35 17:24:43     -102.150661        0.000173
BFGS:   36 17:24:43     -102.150661        0.000080
BFGS:   37 17:24:43     -102.150661        0.000071
BFGS:   38 17:24:43     -102.150661        0.000061
BFGS:   39 17:24:43     -102.150661        0.000083
BFGS:   40 17:24:43     -102.150661        0.000064
BFGS:   41 17:24:43     -102.150661        0.000027
BFGS:   42 17:24:43     -102.150661        0.000023
BFGS:   43 17:24:43     -102.150661        0.000018
BFGS:   44 17:24:43     -102.150661        0.000020
BFGS:   45 17:24:43     -102.150661        0.000011
BFGS:   46 17:24:43     -102.150661        0.000003
