      Step     Time          Energy          fmax
BFGS:    0 23:13:30     -921.193542        1.642398
BFGS:    1 23:13:38     -922.123291        0.567401
BFGS:    2 23:13:47     -922.384338        0.340978
BFGS:    3 23:13:47     -922.468811        0.259907
BFGS:    4 23:13:47     -922.523499        0.213765
BFGS:    5 23:13:48     -922.563477        0.178633
BFGS:    6 23:13:48     -922.605835        0.226290
BFGS:    7 23:13:48     -922.647034        0.229679
BFGS:    8 23:13:48     -922.677612        0.154562
BFGS:    9 23:13:48     -922.694336        0.118368
BFGS:   10 23:13:48     -922.704346        0.101414
BFGS:   11 23:13:48     -922.715210        0.121267
BFGS:   12 23:13:49     -922.726440        0.117522
BFGS:   13 23:13:49     -922.735046        0.088612
BFGS:   14 23:13:49     -922.740662        0.069900
BFGS:   15 23:13:49     -922.744995        0.059942
BFGS:   16 23:13:49     -922.748840        0.051716
BFGS:   17 23:13:49     -922.751892        0.054045
BFGS:   18 23:13:49     -922.753967        0.042856
BFGS:   19 23:13:50     -922.755371        0.033199
BFGS:   20 23:13:50     -922.756409        0.031526
BFGS:   21 23:13:50     -922.757202        0.031067
BFGS:   22 23:13:50     -922.758057        0.036361
BFGS:   23 23:13:50     -922.758972        0.036408
BFGS:   24 23:13:50     -922.760132        0.042391
BFGS:   25 23:13:50     -922.761108        0.031181
BFGS:   26 23:13:51     -922.761780        0.027349
BFGS:   27 23:13:51     -922.762207        0.020840
BFGS:   28 23:13:51     -922.762634        0.021739
BFGS:   29 23:13:51     -922.763062        0.025542
BFGS:   30 23:13:51     -922.763550        0.022488
BFGS:   31 23:13:51     -922.763977        0.023757
BFGS:   32 23:13:51     -922.764343        0.017983
BFGS:   33 23:13:52     -922.764587        0.017424
BFGS:   34 23:13:52     -922.764893        0.016338
BFGS:   35 23:13:52     -922.765198        0.023181
BFGS:   36 23:13:52     -922.765503        0.022704
BFGS:   37 23:13:52     -922.765686        0.013777
BFGS:   38 23:13:52     -922.765869        0.014881
BFGS:   39 23:13:52     -922.765991        0.015092
BFGS:   40 23:13:53     -922.766174        0.021057
BFGS:   41 23:13:53     -922.766357        0.023081
BFGS:   42 23:13:53     -922.766541        0.016878
BFGS:   43 23:13:53     -922.766602        0.008838
