      Step     Time          Energy          fmax
BFGS:    0 12:14:31     -962.928772        1.546986
BFGS:    1 12:14:40     -963.197632        0.487074
BFGS:    2 12:14:40     -963.285339        0.372333
BFGS:    3 12:14:40     -963.353210        0.352286
BFGS:    4 12:14:41     -963.438904        0.466955
BFGS:    5 12:14:41     -963.496338        0.355759
BFGS:    6 12:14:41     -963.549255        0.259253
BFGS:    7 12:14:41     -963.584534        0.244291
BFGS:    8 12:14:41     -963.607178        0.205963
BFGS:    9 12:14:41     -963.631653        0.145677
BFGS:   10 12:14:42     -963.643799        0.146483
BFGS:   11 12:14:42     -963.658081        0.172211
BFGS:   12 12:14:42     -963.674194        0.132034
BFGS:   13 12:14:42     -963.686707        0.110423
BFGS:   14 12:14:42     -963.696777        0.096331
BFGS:   15 12:14:43     -963.706726        0.113463
BFGS:   16 12:14:43     -963.716919        0.097352
BFGS:   17 12:14:43     -963.726013        0.095590
BFGS:   18 12:14:43     -963.734009        0.096059
BFGS:   19 12:14:44     -963.741943        0.103512
BFGS:   20 12:14:44     -963.751099        0.109681
BFGS:   21 12:14:44     -963.761841        0.118962
BFGS:   22 12:14:44     -963.773376        0.158869
BFGS:   23 12:14:44     -963.785095        0.164813
BFGS:   24 12:14:45     -963.796875        0.127410
BFGS:   25 12:14:45     -963.807190        0.102400
BFGS:   26 12:14:45     -963.814941        0.071900
BFGS:   27 12:14:45     -963.820679        0.076053
BFGS:   28 12:14:45     -963.825989        0.080308
BFGS:   29 12:14:45     -963.831909        0.074048
BFGS:   30 12:14:46     -963.837891        0.103156
BFGS:   31 12:14:46     -963.842651        0.088520
BFGS:   32 12:14:46     -963.846191        0.051821
BFGS:   33 12:14:46     -963.849365        0.049060
BFGS:   34 12:14:46     -963.852600        0.062925
BFGS:   35 12:14:46     -963.855774        0.080406
BFGS:   36 12:14:47     -963.858398        0.068392
BFGS:   37 12:14:47     -963.860779        0.052057
BFGS:   38 12:14:47     -963.863281        0.061342
BFGS:   39 12:14:47     -963.866089        0.079236
BFGS:   40 12:14:47     -963.868958        0.073100
BFGS:   41 12:14:47     -963.871338        0.047704
BFGS:   42 12:14:47     -963.873047        0.047547
BFGS:   43 12:14:48     -963.874695        0.051137
BFGS:   44 12:14:48     -963.876526        0.062801
BFGS:   45 12:14:48     -963.878479        0.053049
BFGS:   46 12:14:48     -963.880371        0.040360
BFGS:   47 12:14:48     -963.881958        0.042728
BFGS:   48 12:14:48     -963.883362        0.047533
BFGS:   49 12:14:49     -963.884705        0.037194
BFGS:   50 12:14:49     -963.886108        0.045048
BFGS:   51 12:14:49     -963.887451        0.041083
BFGS:   52 12:14:49     -963.888855        0.045466
BFGS:   53 12:14:49     -963.890198        0.044756
BFGS:   54 12:14:50     -963.891418        0.029234
BFGS:   55 12:14:50     -963.892456        0.033256
BFGS:   56 12:14:50     -963.893372        0.030284
BFGS:   57 12:14:50     -963.894165        0.028511
BFGS:   58 12:14:50     -963.894836        0.029670
BFGS:   59 12:14:50     -963.895447        0.025267
BFGS:   60 12:14:50     -963.895935        0.027936
BFGS:   61 12:14:51     -963.896484        0.030567
BFGS:   62 12:14:51     -963.896912        0.020649
BFGS:   63 12:14:51     -963.897217        0.015423
BFGS:   64 12:14:51     -963.897461        0.018956
BFGS:   65 12:14:51     -963.897827        0.026141
BFGS:   66 12:14:51     -963.898254        0.026252
BFGS:   67 12:14:52     -963.898560        0.014501
BFGS:   68 12:14:52     -963.898743        0.009758
